id	type	timeindex	count	platformtype	needcount	reward	rank
138	2	41	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
139	2	41	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
140	3	2	0	1	500	30000_6004_2	1
141	3	2	0	1	1000	30000_6004_5,30000_3001_2	2
142	3	2	0	1	2000	30000_6004_10,30000_3001_4,30000_3501_1	3
143	3	2	0	1	3000	30000_6004_12,30000_3001_6,30000_3501_3	4
144	3	2	0	1	5000	30000_6004_15,30000_3001_8,30000_3501_5	5
145	3	2	0	1	10000	30000_6004_20,30000_3001_10,30000_3501_7	6
146	3	2	0	1	20000	30000_6004_25,30000_3001_12,30000_3501_9,30000_3801_5	7
147	3	2	0	1	30000	30000_6004_30,30000_3001_14,30000_3501_11,30000_3801_7	8
148	3	5	0	1	500	30000_6004_2	1
149	3	5	0	1	1000	30000_6004_5,30000_3001_2	2
150	3	5	0	1	2000	30000_6004_10,30000_3001_4,30000_3501_1	3
151	3	5	0	1	3000	30000_6004_12,30000_3001_6,30000_3501_3	4
152	3	5	0	1	5000	30000_6004_15,30000_3001_8,30000_3501_5	5
153	3	5	0	1	10000	30000_6004_20,30000_3001_10,30000_3501_7	6
154	3	5	0	1	20000	30000_6004_25,30000_3001_12,30000_3501_9,30000_3801_5	7
155	3	5	0	1	30000	30000_6004_30,30000_3001_14,30000_3501_11,30000_3801_7	8
156	3	6	0	1	500	30000_6004_2	1
157	3	6	0	1	1000	30000_6004_5,30000_3001_2	2
158	3	6	0	1	2000	30000_6004_10,30000_3001_4,30000_3501_1	3
159	3	6	0	1	3000	30000_6004_12,30000_3001_6,30000_3501_3	4
160	3	6	0	1	5000	30000_6004_15,30000_3001_8,30000_3501_5	5
161	3	6	0	1	10000	30000_6004_20,30000_3001_10,30000_3501_7	6
162	3	6	0	1	20000	30000_6004_25,30000_3001_12,30000_3501_9,30000_3801_5	7
163	3	6	0	1	30000	30000_6004_30,30000_3001_14,30000_3501_11,30000_3801_7	8
164	3	7	0	1	500	30000_6004_2	1
165	3	7	0	1	1000	30000_6004_5,30000_3001_2	2
166	3	7	0	1	2000	30000_6004_10,30000_3001_4,30000_3501_1	3
167	3	7	0	1	3000	30000_6004_12,30000_3001_6,30000_3501_3	4
168	3	7	0	1	5000	30000_6004_15,30000_3001_8,30000_3501_5	5
169	3	7	0	1	10000	30000_6004_20,30000_3001_10,30000_3501_7	6
170	3	7	0	1	20000	30000_6004_25,30000_3001_12,30000_3501_9,30000_3801_5	7
171	3	7	0	1	30000	30000_6004_30,30000_3001_14,30000_3501_11,30000_3801_7	8
172	3	8	0	1	500	30000_6004_2	1
173	3	8	0	1	1000	30000_6004_5,30000_3001_2	2
174	3	8	0	1	2000	30000_6004_10,30000_3001_4,30000_3501_1	3
175	3	8	0	1	3000	30000_6004_12,30000_3001_6,30000_3501_3	4
176	3	8	0	1	5000	30000_6004_15,30000_3001_8,30000_3501_5	5
177	3	8	0	1	10000	30000_6004_20,30000_3001_10,30000_3501_7	6
178	3	8	0	1	20000	30000_6004_25,30000_3001_12,30000_3501_9,30000_3801_5	7
179	3	8	0	1	30000	30000_6004_30,30000_3001_14,30000_3501_11,30000_3801_7	8
180	3	9	0	1	500	30000_6004_2	1
181	3	9	0	1	1000	30000_6004_5,30000_3001_2	2
182	3	9	0	1	2000	30000_6004_10,30000_3001_4,30000_3501_1	3
183	3	9	0	1	3000	30000_6004_12,30000_3001_6,30000_3501_3	4
184	3	9	0	1	5000	30000_6004_15,30000_3001_8,30000_3501_5	5
185	3	9	0	1	10000	30000_6004_20,30000_3001_10,30000_3501_7	6
186	3	9	0	1	20000	30000_6004_25,30000_3001_12,30000_3501_9,30000_3801_5	7
187	3	9	0	1	30000	30000_6004_30,30000_3001_14,30000_3501_11,30000_3801_7	8
188	3	201	0	1	500	30000_6004_2	1
189	3	201	0	1	1000	30000_6004_5,30000_3001_4	2
190	3	201	0	1	2000	30000_6004_10,30000_3001_6,30000_3501_1	3
191	3	201	0	1	3000	30000_6004_12,30000_3001_8,30000_3501_3	4
192	3	201	0	1	5000	30000_6004_15,30000_3001_12,30000_3501_5	5
193	3	201	0	1	10000	30000_6004_20,30000_3001_14,30000_3501_7	6
194	3	201	0	1	20000	30000_6004_25,30000_3001_18,30000_3501_9,30000_3801_5	7
195	3	201	0	1	30000	30000_6004_30,30000_3001_24,30000_3501_11,30000_3801_7	8
196	3	202	0	1	500	30000_6004_2	1
197	3	202	0	1	1000	30000_6004_5,30000_3001_4	2
198	3	202	0	1	2000	30000_6004_10,30000_3001_6,30000_3501_1	3
199	3	202	0	1	3000	30000_6004_12,30000_3001_8,30000_3501_3	4
200	3	202	0	1	5000	30000_6004_15,30000_3001_12,30000_3501_5	5
201	3	202	0	1	10000	30000_6004_20,30000_3001_14,30000_3501_7	6
202	3	202	0	1	20000	30000_6004_25,30000_3001_18,30000_3501_9,30000_3801_5	7
203	3	202	0	1	30000	30000_6004_30,30000_3001_24,30000_3501_11,30000_3801_7	8
204	3	203	0	1	500	30000_6004_2	1
205	3	203	0	1	1000	30000_6004_5,30000_3001_4	2
206	3	203	0	1	2000	30000_6004_10,30000_3001_6,30000_3501_1	3
207	3	203	0	1	3000	30000_6004_12,30000_3001_8,30000_3501_3	4
208	3	203	0	1	5000	30000_6004_15,30000_3001_12,30000_3501_5	5
209	3	203	0	1	10000	30000_6004_20,30000_3001_14,30000_3501_7	6
210	3	203	0	1	20000	30000_6004_25,30000_3001_18,30000_3501_9,30000_3801_5	7
211	3	203	0	1	30000	30000_6004_30,30000_3001_24,30000_3501_11,30000_3801_7	8
212	3	204	0	1	500	30000_6004_2	1
213	3	204	0	1	1000	30000_6004_5,30000_3001_4	2
214	3	204	0	1	2000	30000_6004_10,30000_3001_6,30000_3501_1	3
215	3	204	0	1	3000	30000_6004_12,30000_3001_8,30000_3501_3	4
216	3	204	0	1	5000	30000_6004_15,30000_3001_12,30000_3501_5	5
217	3	204	0	1	10000	30000_6004_20,30000_3001_14,30000_3501_7	6
218	3	204	0	1	20000	30000_6004_25,30000_3001_18,30000_3501_9,30000_3801_5	7
219	3	204	0	1	30000	30000_6004_30,30000_3001_24,30000_3501_11,30000_3801_7	8
220	3	205	0	1	500	30000_6004_2	1
221	3	205	0	1	1000	30000_6004_5,30000_3001_4	2
222	3	205	0	1	2000	30000_6004_10,30000_3001_6,30000_3501_1	3
223	3	205	0	1	3000	30000_6004_12,30000_3001_8,30000_3501_3	4
224	3	205	0	1	5000	30000_6004_15,30000_3001_12,30000_3501_5	5
225	3	205	0	1	10000	30000_6004_20,30000_3001_14,30000_3501_7	6
226	3	205	0	1	20000	30000_6004_25,30000_3001_18,30000_3501_9,30000_3801_5	7
227	3	205	0	1	30000	30000_6004_30,30000_3001_24,30000_3501_11,30000_3801_7	8
228	3	206	0	1	500	30000_6004_2	1
229	3	206	0	1	1000	30000_6004_5,30000_3001_4	2
230	3	206	0	1	2000	30000_6004_10,30000_3001_6,30000_3501_1	3
231	3	206	0	1	3000	30000_6004_12,30000_3001_8,30000_3501_3	4
232	3	206	0	1	5000	30000_6004_15,30000_3001_12,30000_3501_5	5
233	3	206	0	1	10000	30000_6004_20,30000_3001_14,30000_3501_7	6
234	3	206	0	1	20000	30000_6004_25,30000_3001_18,30000_3501_9,30000_3801_5	7
235	3	206	0	1	30000	30000_6004_30,30000_3001_24,30000_3501_11,30000_3801_7	8
236	3	207	0	1	500	30000_6004_2	1
237	3	207	0	1	1000	30000_6004_5,30000_3001_4	2
238	3	207	0	1	2000	30000_6004_10,30000_3001_6,30000_3501_1	3
239	3	207	0	1	3000	30000_6004_12,30000_3001_8,30000_3501_3	4
240	3	207	0	1	5000	30000_6004_15,30000_3001_12,30000_3501_5	5
241	3	207	0	1	10000	30000_6004_20,30000_3001_14,30000_3501_7	6
242	3	207	0	1	20000	30000_6004_25,30000_3001_18,30000_3501_9,30000_3801_5	7
243	3	207	0	1	30000	30000_6004_30,30000_3001_24,30000_3501_11,30000_3801_7	8
244	3	208	0	1	500	30000_6004_2	1
245	3	208	0	1	1000	30000_6004_5,30000_3001_4	2
246	3	208	0	1	2000	30000_6004_10,30000_3001_6,30000_3501_1	3
247	3	208	0	1	3000	30000_6004_12,30000_3001_8,30000_3501_3	4
248	3	208	0	1	5000	30000_6004_15,30000_3001_12,30000_3501_5	5
249	3	208	0	1	10000	30000_6004_20,30000_3001_14,30000_3501_7	6
250	3	208	0	1	20000	30000_6004_25,30000_3001_18,30000_3501_9,30000_3801_5	7
251	3	208	0	1	30000	30000_6004_30,30000_3001_24,30000_3501_11,30000_3801_7	8
252	1	101	0	1	800	10000_1001_480,30000_7224_1,30000_6004_5,30000_7181_500	1
253	1	101	0	1	1600	10000_1001_480,30000_7224_1,30000_6004_5,30000_7181_1200	2
254	1	101	0	1	5000	10000_1001_960,30000_7224_2,30000_6004_10,30000_7603_8	3
255	1	101	0	1	10000	10000_1001_960,30000_7224_2,30000_6004_20,30000_7603_14	4
256	1	101	0	1	13000	10000_1001_960,30000_7224_3,30000_6004_20,30000_7209_40	5
257	1	101	0	1	25000	10000_1001_1500,30000_7224_4,30000_6004_30,30000_7209_50	6
258	1	101	0	1	40000	10000_1001_2800,30000_7224_5,30000_6004_30,30000_7209_60	7
259	1	101	0	1	66000	10000_1001_4000,30000_7224_5,30000_6004_40,30000_7209_80	8
260	1	101	0	1	99900	10000_1001_6500,30000_7224_5,30000_6004_50,30000_7209_120	9
261	1	102	0	1	800	10000_1001_480,30000_3001_12,30000_3501_12,30000_3801_12	1
262	1	102	0	1	1600	10000_1001_480,30000_7006_2,30000_3001_26,30000_3501_26	2
263	1	102	0	1	5000	10000_1001_960,30000_7006_3,30000_3001_40,30000_3501_40	3
264	1	102	0	1	10000	10000_1001_960,30000_7006_5,30000_3001_60,30000_3501_60	4
265	1	102	0	1	13000	10000_1001_960,30000_7006_8,30000_6004_20,30000_7209_40	5
266	1	102	0	1	25000	10000_1001_1500,40000_1013_1,30000_6004_30,30000_7209_50	6
267	1	102	0	1	40000	10000_1001_2800,40000_2013_1,30000_6004_30,30000_7209_60	7
268	1	102	0	1	66000	10000_1001_4000,40000_4013_1,30000_6004_40,30000_7209_80	8
269	1	102	0	1	99900	10000_1001_6500,40000_3013_1,30000_6004_50,30000_7209_120	9
270	1	103	0	1	800	10000_1001_480,30000_6004_5,30000_7197_10,30000_7501_50	1
271	1	103	0	1	1600	10000_1001_480,30000_6004_5,30000_7197_20,30000_7501_50	2
272	1	103	0	1	5000	10000_1001_960,30000_6004_10,30000_7198_20,30000_7501_100	3
273	1	103	0	1	10000	10000_1001_960,30000_6004_20,30000_7198_20,30000_7501_200	4
274	1	103	0	1	13000	10000_1001_960,30000_6004_20,30000_7199_30,30000_7501_300	5
275	1	103	0	1	25000	10000_1001_1500,30000_6004_30,30000_7199_30,30000_7501_500	6
276	1	103	0	1	40000	10000_1001_2800,30000_6004_30,30000_7220_4,30000_7501_1000	7
279	1	104	0	1	800	10000_1001_480,70000_1_100,30000_3501_12,30000_3801_12	1
280	1	104	0	1	1600	10000_1001_480,70000_1_100,30000_3001_26,30000_3501_26	2
281	1	104	0	1	5000	10000_1001_960,70000_1_200,30000_3001_40,30000_3501_40	3
282	1	104	0	1	10000	10000_1001_960,70000_1_300,30000_3001_60,30000_3501_60	4
283	1	104	0	1	13000	10000_1001_960,30000_20101_100,30000_7182_500,30000_7209_40	5
284	1	104	0	1	25000	10000_1001_1500,30000_20101_300,30000_7182_800,30000_7209_50	6
285	1	104	0	1	40000	10000_1001_2800,30000_20101_700,30000_7182_1200,30000_7209_60	7
286	1	104	0	1	66000	10000_1001_4000,30000_7013_1,30000_6004_40,30000_7209_80	8
1001	2	10	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1002	2	10	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1003	2	11	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1004	2	11	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1005	2	12	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1006	2	12	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1007	2	13	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1008	2	13	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1009	2	14	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1010	2	14	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1011	2	15	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1012	2	15	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1013	2	16	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1014	2	16	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1015	2	17	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1016	2	17	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1017	2	18	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1018	2	18	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1019	2	19	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1020	2	19	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1021	2	20	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1022	2	20	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1023	2	21	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1024	2	21	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1025	2	22	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1026	2	22	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1027	2	23	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1028	2	23	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1029	2	24	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1030	2	24	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1031	2	25	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1032	2	25	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1033	2	26	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1034	2	26	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1035	2	27	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1036	2	27	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1037	2	28	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1038	2	28	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1039	2	29	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1040	2	29	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1041	2	30	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1042	2	30	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1043	2	31	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1044	2	31	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1045	2	32	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1046	2	32	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
1047	2	33	1	6	800	10000_1001_300,30000_7209_4,30000_6004_2	1
1048	2	33	1	6	2080	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
