id	nextstage	monsterid	reward	stagebg	buffdesc	spine	scale	關卡地圖背景	關卡名稱
29	30	0,0,0,50001,0,0	10000_1001_290	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_05000	1	battle_bg_003	@AllianceBoss_1
30	31	0,0,0,50001,0,0	10000_1001_300	BG/UI/Tower_img2.png	500011	Spine/CharacterSpine,NG_06000	1	battle_bg_003	@AllianceBoss_1
31	32	0,0,0,50001,0,0	10000_1001_310	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_07000	1	battle_bg_003	@AllianceBoss_1
32	33	0,0,0,50001,0,0	10000_1001_320	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_08000	1	battle_bg_003	@AllianceBoss_1
33	34	0,0,0,50001,0,0	10000_1001_330	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_09000	1	battle_bg_003	@AllianceBoss_1
34	35	0,0,0,50001,0,0	10000_1001_340	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_10000	1	battle_bg_003	@AllianceBoss_1
35	36	0,0,0,50001,0,0	10000_1001_350	BG/UI/Tower_img2.png	500011	Spine/CharacterSpine,NG_11000	1	battle_bg_003	@AllianceBoss_1
36	37	0,0,0,50001,0,0	10000_1001_360	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_12000	1	battle_bg_003	@AllianceBoss_1
37	38	0,0,0,50001,0,0	10000_1001_370	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_13000	1	battle_bg_003	@AllianceBoss_1
38	39	0,0,0,50001,0,0	10000_1001_380	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_14000	1	battle_bg_003	@AllianceBoss_1
39	40	0,0,0,50001,0,0	10000_1001_390	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_15000	1	battle_bg_003	@AllianceBoss_1
40	41	0,0,0,50001,0,0	10000_1001_400	BG/UI/Tower_img2.png	500011	Spine/CharacterSpine,NG_16000	1	battle_bg_003	@AllianceBoss_1
41	42	0,0,0,50001,0,0	10000_1001_410	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_17000	1	battle_bg_003	@AllianceBoss_1
42	43	0,0,0,50001,0,0	10000_1001_420	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_18000	1	battle_bg_003	@AllianceBoss_1
43	44	0,0,0,50001,0,0	10000_1001_430	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_19000	1	battle_bg_003	@AllianceBoss_1
44	45	0,0,0,50001,0,0	10000_1001_440	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_20000	1	battle_bg_003	@AllianceBoss_1
45	46	0,0,0,50001,0,0	10000_1001_450	BG/UI/Tower_img2.png	500011	Spine/CharacterSpine,NG_21000	1	battle_bg_003	@AllianceBoss_1
46	47	0,0,0,50001,0,0	10000_1001_460	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_22000	1	battle_bg_003	@AllianceBoss_1
47	48	0,0,0,50001,0,0	10000_1001_470	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_23000	1	battle_bg_003	@AllianceBoss_1
48	49	0,0,0,50001,0,0	10000_1001_480	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_24000	1	battle_bg_003	@AllianceBoss_1
49	50	0,0,0,50001,0,0	10000_1001_490	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_01000	1	battle_bg_003	@AllianceBoss_1
50	0	0,0,0,50001,0,0	10000_1001_500	BG/UI/Tower_img2.png	500011	Spine/CharacterSpine,NG_02000	1	battle_bg_003	@AllianceBoss_1
