流水號	id	type	等級限制	需求人數	nextstage	monsterid	reward	stagebg	spine	scale	關卡地圖背景	關卡名稱
26	26	1	130	5	27	0,75_1_40018,75_1_40015,75_1_40018,75_1_40018,75_1_40010	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_07000	1	battle_bg_016	@TowerName01_026
27	27	1	130	5	28	0,76_1_40013,76_1_40014,76_1_40013,76_1_40017,76_1_40007	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_09000	1	battle_bg_016	@TowerName01_027
28	28	1	130	5	29	0,77_1_40014,77_1_40009,77_1_40014,77_1_40012,77_1_40013	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_11000	1	battle_bg_016	@TowerName01_028
29	29	1	130	5	30	0,78_1_40008,78_1_40010,78_1_40008,78_1_40013,78_1_40009	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_07000	1	battle_bg_016	@TowerName01_029
30	30	1	130	5	31	0,79_1_40013,79_1_40007,79_1_40013,79_1_40009,79_1_40002	10000_1001_50,30000_5005_30,30000_7198_1,30000_9001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_05000	1	battle_bg_024	@TowerName01_030
31	31	1	130	5	32	0,80_1_40004,80_1_40009,80_1_40004,80_1_40012,80_1_40007	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_11000	1	battle_bg_016	@TowerName01_031
32	32	1	130	5	33	0,81_1.1_40018,81_1.1_40005,81_1.1_40018,81_1.1_40005,81_1.1_40013	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_06000	1	battle_bg_016	@TowerName01_032
33	33	1	130	5	34	0,82_1.1_40003,82_1.1_40006,82_1.1_40003,82_1.1_40016,82_1.1_40005	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_08000	1	battle_bg_016	@TowerName01_033
34	34	1	130	5	35	0,83_1.1_40019,83_1.1_40014,83_1.1_40019,83_1.1_40005,83_1.1_40005	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_06000	1	battle_bg_016	@TowerName01_034
35	35	1	130	5	36	0,84_1.1_40008,84_1.1_40007,84_1.1_40008,84_1.1_40017,84_1.1_40006	10000_1001_50,30000_5005_30,30000_7198_1,30000_9001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_09000	1	battle_bg_024	@TowerName01_035
36	36	1	130	5	37	0,85_1.1_40003,85_1.1_40015,85_1.1_40003,85_1.1_40009,85_1.1_40003	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_05000	1	battle_bg_016	@TowerName01_036
37	37	1	130	5	38	0,86_1.1_40009,86_1.1_40010,86_1.1_40009,86_1.1_40005,86_1.1_40015	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_06000	1	battle_bg_016	@TowerName01_037
38	38	1	130	5	39	0,87_1.1_40014,87_1.1_40007,87_1.1_40014,87_1.1_40011,87_1.1_40014	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_12000	1	battle_bg_016	@TowerName01_038
39	39	1	130	5	40	0,88_1.1_40004,88_1.1_40013,88_1.1_40004,88_1.1_40011,88_1.1_40009	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_12000	1	battle_bg_016	@TowerName01_039
40	40	1	130	5	41	0,89_1.1_40013,89_1.1_40009,89_1.1_40013,89_1.1_40000,89_1.1_40010	10000_1001_50,30000_5005_30,30000_7198_1,30000_9001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_01000	1	battle_bg_024	@TowerName01_040
41	41	1	130	5	42	0,90_1.1_40004,90_1.1_40002,90_1.1_40011,90_1.1_40014,90_1.1_40007	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_07000	1	battle_bg_016	@TowerName01_041
42	42	1	130	5	43	0,91_1.1_40008,91_1.1_40007,91_1.1_40011,91_1.1_40005,91_1.1_40009	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_06000	1	battle_bg_016	@TowerName01_042
43	43	1	130	5	44	0,92_1.1_40009,92_1.1_40013,92_1.1_40003,92_1.1_40006,92_1.1_40005	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_03000	1	battle_bg_016	@TowerName01_043
44	44	1	130	5	45	0,93_1.1_40003,93_1.1_40005,93_1.1_40007,93_1.1_40014,93_1.1_40003	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_07000	1	battle_bg_016	@TowerName01_044
45	45	1	130	5	46	0,94_1.1_40019,94_1.1_40005,94_1.1_40008,94_1.1_40007,94_1.1_40019	10000_1001_50,30000_5005_30,30000_7198_1,30000_9001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_02000	1	battle_bg_024	@TowerName01_045
46	46	1	130	5	47	0,95_1.1_40018,95_1.1_40006,95_1.1_40004,95_1.1_40015,95_1.1_40018	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_10000	1	battle_bg_016	@TowerName01_046
47	47	1	130	5	48	0,96_1.1_40013,96_1.1_40003,96_1.1_40018,96_1.1_40010,96_1.1_40013	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_10000	1	battle_bg_016	@TowerName01_047
48	48	1	130	5	49	0,97_1.1_40014,97_1.1_40015,97_1.1_40017,97_1.1_40007,97_1.1_40014	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_02000	1	battle_bg_016	@TowerName01_048
49	49	1	130	5	50	0,98_1.1_40008,98_1.1_40014,98_1.1_40012,98_1.1_40013,98_1.1_40008	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_07000	1	battle_bg_016	@TowerName01_049
50	50	1	130	5	0	0,99_1.1_40013,99_1.1_40009,99_1.1_40013,99_1.1_40009,99_1.1_40013	10000_1001_200,30000_5005_100,30000_7198_1,30000_9001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_05000	1	battle_bg_024	@TowerName01_050
101	1	2	400	2	2	0,50_1_20005,50_1_20001,50_1_20002,50_1_20003,50_1_20004	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_03000	1	battle_bg_022	@TowerName001
102	2	2	400	2	3	0,51_1_20007,51_1_20019,51_1_20003,51_1_20009,51_1_20001	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName002
103	3	2	400	2	4	0,52_1_20018,52_1_20001,52_1_20002,52_1_20011,52_1_20015	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_11000	1	battle_bg_022	@TowerName003
104	4	2	400	2	5	0,53_1_20019,53_1_20016,53_1_20017,53_1_20012,53_1_20013	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_12000	1	battle_bg_022	@TowerName004
105	5	2	400	2	6	0,54_1_20005,54_1_20012,54_1_20011,54_1_20017,54_1_20016	10000_1001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_17000	1	battle_bg_015	@TowerName005
106	6	2	400	2	7	0,55_1_20007,55_1_20008,55_1_20010,55_1_20011,55_1_20023	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_11000	1	battle_bg_022	@TowerName006
107	7	2	400	2	8	0,56_1_20018,56_1_20019,56_1_20001,56_1_20002,56_1_20006	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_02000	1	battle_bg_022	@TowerName007
108	8	2	400	2	9	0,57_1_20019,57_1_20005,57_1_20001,57_1_20006,57_1_20002	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_06000	1	battle_bg_022	@TowerName008
109	9	2	400	2	10	0,58_1_20004,58_1_20008,58_1_20001,58_1_20009,58_1_20002	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName009
110	10	2	400	2	11	0,59_1_20010,59_1_20008,59_1_20011,59_1_20013,59_1_20012	10000_1001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_13000	1	battle_bg_015	@TowerName010
111	11	2	400	2	12	0,60_1_20016,60_1_20017,60_1_20018,60_1_20015,60_1_20013	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_15000	1	battle_bg_022	@TowerName011
112	12	2	400	2	13	0,61_1_20020,61_1_20008,61_1_20002,61_1_20008,61_1_20021	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_06000	1	battle_bg_022	@TowerName012
113	13	2	400	2	14	0,62_1_20022,62_1_20005,62_1_20002,62_1_20003,62_1_20015	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_03000	1	battle_bg_022	@TowerName013
114	14	2	400	2	15	0,63_1_20023,63_1_20018,63_1_20019,63_1_20009,63_1_20003	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName014
115	15	2	400	2	16	0,64_1_20005,64_1_20006,64_1_20012,64_1_20011,64_1_20017	10000_1001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_11000	1	battle_bg_015	@TowerName015
116	16	2	400	2	17	0,65_1_20007,65_1_20014,65_1_20011,65_1_20012,65_1_20022	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_12000	1	battle_bg_022	@TowerName016
117	17	2	400	2	18	0,66_1_20018,66_1_20011,66_1_20001,66_1_20017,66_1_20001	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_17000	1	battle_bg_022	@TowerName017
118	18	2	400	2	19	0,67_1_20019,67_1_20018,67_1_20019,67_1_20021,67_1_20019	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_21000	1	battle_bg_022	@TowerName018
119	19	2	400	2	20	0,68_1_20004,68_1_20002,68_1_20001,68_1_20002,68_1_20001	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_02000	1	battle_bg_022	@TowerName019
120	20	2	400	2	21	0,69_1_20010,69_1_20002,69_1_20016,69_1_20006,69_1_20016	10000_1001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_06000	1	battle_bg_015	@TowerName020
121	21	2	400	2	22	0,70_1_20016,70_1_20019,70_1_20012,70_1_20008,70_1_20012	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_08000	1	battle_bg_022	@TowerName021
122	22	2	400	2	23	0,71_1_20020,71_1_20012,71_1_20008,71_1_20013,71_1_20008	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_13000	1	battle_bg_022	@TowerName022
123	23	2	400	2	24	0,72_1_20022,72_1_20011,72_1_20019,72_1_20015,72_1_20019	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_15000	1	battle_bg_022	@TowerName023
124	24	2	400	2	25	0,73_1_20023,73_1_20001,73_1_20005,73_1_20008,73_1_20005	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_08000	1	battle_bg_022	@TowerName024
125	25	2	400	2	26	0,74_1_20005,74_1_20019,74_1_20008,74_1_20009,74_1_20008	10000_1001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_09000	1	battle_bg_015	@TowerName025
126	26	2	400	2	27	0,75_1_20007,75_1_20001,75_1_20008,75_1_20010,75_1_20008	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_10000	1	battle_bg_022	@TowerName026
127	27	2	400	2	28	0,76_1_20018,76_1_20016,76_1_20017,76_1_20012,76_1_20017	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_12000	1	battle_bg_022	@TowerName027
128	28	2	400	2	29	0,77_1_20019,77_1_20012,77_1_20008,77_1_20003,77_1_20008	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_03000	1	battle_bg_022	@TowerName028
129	29	2	400	2	30	0,78_1_20004,78_1_20008,78_1_20005,78_1_20009,78_1_20005	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName029
130	30	2	400	2	31	0,79_1_20010,79_1_20019,79_1_20018,79_1_20011,79_1_20018	10000_1001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_11000	1	battle_bg_015	@TowerName030
131	31	2	400	2	32	0,80_1_20016,80_1_20005,80_1_20006,80_1_20012,80_1_20006	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_12000	1	battle_bg_022	@TowerName031
132	32	2	400	2	33	0,81_1.1_20020,81_1.1_20019,81_1.1_20014,81_1.1_20017,81_1.1_20014	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_17000	1	battle_bg_022	@TowerName032
133	33	2	400	2	34	0,82_1.1_20022,82_1.1_20001,82_1.1_20001,82_1.1_20021,82_1.1_20001	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_21000	1	battle_bg_022	@TowerName033
134	34	2	400	2	35	0,83_1.1_20023,83_1.1_20016,83_1.1_20019,83_1.1_20002,83_1.1_20019	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_02000	1	battle_bg_022	@TowerName034
135	35	2	400	2	36	0,84_1.1_20005,84_1.1_20012,84_1.1_20001,84_1.1_20006,84_1.1_20001	10000_1001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_06000	1	battle_bg_015	@TowerName035
136	36	2	400	2	37	0,85_1.1_20007,85_1.1_20008,85_1.1_20016,85_1.1_20008,85_1.1_20016	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_08000	1	battle_bg_022	@TowerName036
137	37	2	400	2	38	0,86_1.1_20018,86_1.1_20019,86_1.1_20012,86_1.1_20013,86_1.1_20012	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_13000	1	battle_bg_022	@TowerName037
138	38	2	400	2	39	0,87_1.1_20019,87_1.1_20005,87_1.1_20008,87_1.1_20015,87_1.1_20008	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_15000	1	battle_bg_022	@TowerName038
139	39	2	400	2	40	0,88_1.1_20004,88_1.1_20008,88_1.1_20019,88_1.1_20008,88_1.1_20019	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_08000	1	battle_bg_022	@TowerName039
140	40	2	400	2	41	0,89_1.1_20010,89_1.1_20008,89_1.1_20005,89_1.1_20011,89_1.1_20005	10000_1001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_11000	1	battle_bg_015	@TowerName040
141	41	2	400	2	42	0,90_1.1_20016,90_1.1_20017,90_1.1_20008,90_1.1_20018,90_1.1_20008	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_18000	1	battle_bg_022	@TowerName041
142	42	2	400	2	43	0,91_1.1_20020,91_1.1_20008,91_1.1_20008,91_1.1_20022,91_1.1_20008	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_22000	1	battle_bg_022	@TowerName042
143	43	2	400	2	44	0,92_1.1_20022,92_1.1_20015,92_1.1_20017,92_1.1_20024,92_1.1_20017	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_24000	1	battle_bg_022	@TowerName043
144	44	2	400	2	45	0,93_1.1_20023,93_1.1_20008,93_1.1_20008,93_1.1_20017,93_1.1_20008	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_17000	1	battle_bg_022	@TowerName044
145	45	2	400	2	46	0,94_1.1_20005,94_1.1_20011,94_1.1_20005,94_1.1_20018,94_1.1_20005	10000_1001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_18000	1	battle_bg_015	@TowerName045
146	46	2	400	2	47	0,95_1.1_20007,95_1.1_20018,95_1.1_20018,95_1.1_20001,95_1.1_20018	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_01000	1	battle_bg_022	@TowerName046
147	47	2	400	2	48	0,96_1.1_20018,96_1.1_20022,96_1.1_20006,96_1.1_20002,96_1.1_20006	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_02000	1	battle_bg_022	@TowerName047
148	48	2	400	2	49	0,97_1.1_20019,97_1.1_20024,97_1.1_20014,97_1.1_20004,97_1.1_20014	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_04000	1	battle_bg_022	@TowerName048
149	49	2	400	2	50	0,98_1.1_20004,98_1.1_20017,98_1.1_20001,98_1.1_20003,98_1.1_20001	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_03000	1	battle_bg_022	@TowerName049
150	50	2	400	2	0	0,99_1.1_20010,99_1.1_20018,99_1.1_20019,99_1.1_20009,99_1.1_20019	10000_1001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_09000	1	battle_bg_015	@TowerName050
151	1	3	400	2	2	0,50_1_20005,50_1_20001,50_1_20002,50_1_20003,50_1_20004	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_03000	1	battle_bg_022	@TowerName001
152	2	3	400	2	3	0,51_1_20007,51_1_20019,51_1_20003,51_1_20009,51_1_20001	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName002
153	3	3	400	2	4	0,52_1_20018,52_1_20001,52_1_20002,52_1_20011,52_1_20015	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_11000	1	battle_bg_022	@TowerName003
154	4	3	400	2	5	0,53_1_20019,53_1_20016,53_1_20017,53_1_20012,53_1_20013	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_12000	1	battle_bg_022	@TowerName004
155	5	3	400	2	6	0,54_1_20005,54_1_20012,54_1_20011,54_1_20017,54_1_20016	10000_1001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_17000	1	battle_bg_015	@TowerName005
156	6	3	400	2	7	0,55_1_20007,55_1_20008,55_1_20010,55_1_20011,55_1_20023	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_11000	1	battle_bg_022	@TowerName006
157	7	3	400	2	8	0,56_1_20018,56_1_20019,56_1_20001,56_1_20002,56_1_20006	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_02000	1	battle_bg_022	@TowerName007
158	8	3	400	2	9	0,57_1_20019,57_1_20005,57_1_20001,57_1_20006,57_1_20002	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_06000	1	battle_bg_022	@TowerName008
159	9	3	400	2	10	0,58_1_20004,58_1_20008,58_1_20001,58_1_20009,58_1_20002	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName009
160	10	3	400	2	11	0,59_1_20010,59_1_20008,59_1_20011,59_1_20013,59_1_20012	10000_1001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_13000	1	battle_bg_015	@TowerName010
161	11	3	400	2	12	0,60_1_20016,60_1_20017,60_1_20018,60_1_20015,60_1_20013	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_15000	1	battle_bg_022	@TowerName011
162	12	3	400	2	13	0,61_1_20020,61_1_20008,61_1_20002,61_1_20008,61_1_20021	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_06000	1	battle_bg_022	@TowerName012
163	13	3	400	2	14	0,62_1_20022,62_1_20005,62_1_20002,62_1_20003,62_1_20015	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_03000	1	battle_bg_022	@TowerName013
164	14	3	400	2	15	0,63_1_20023,63_1_20018,63_1_20019,63_1_20009,63_1_20003	10000_1001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName014
