subStageId	mainId	limitPeople	limitElement	limitPosition	stageName	bg	bgm
132	25	4	2,3,5		@PuzzleBattle_NoNameTrial_4	BG\Battle\battle_bg_008.png	
133	25	4	0		@PuzzleBattle_NoNameTrial_4	BG\Battle\battle_bg_008.png	
134	25	4	1,3,4		@PuzzleBattle_NoNameTrial_4	BG\Battle\battle_bg_008.png	
135	25	4	2,4,5		@PuzzleBattle_NoNameTrial_4	BG\Battle\battle_bg_008.png	
136	26	2	1,3		@PuzzleBattle_NoNameTrial_5	BG\Battle\battle_bg_008.png	
137	26	3	2,3		@PuzzleBattle_NoNameTrial_5	BG\Battle\battle_bg_008.png	
138	26	2	3,4		@PuzzleBattle_NoNameTrial_5	BG\Battle\battle_bg_008.png	
139	26	2	3,5		@PuzzleBattle_NoNameTrial_5	BG\Battle\battle_bg_008.png	
140	26	2	1,3		@PuzzleBattle_NoNameTrial_5	BG\Battle\battle_bg_008.png	
141	26	2	1,2		@PuzzleBattle_NoNameTrial_5	BG\Battle\battle_bg_008.png	
142	26	2	2,4		@PuzzleBattle_NoNameTrial_5	BG\Battle\battle_bg_008.png	
143	26	2	3,5		@PuzzleBattle_NoNameTrial_5	BG\Battle\battle_bg_008.png	
144	26	3	1,3		@PuzzleBattle_NoNameTrial_5	BG\Battle\battle_bg_008.png	
145	27	4	0		@PuzzleBattle_NoNameTrial_6	BG\Battle\battle_bg_008.png	
146	27	5	0		@PuzzleBattle_NoNameTrial_6	BG\Battle\battle_bg_008.png	
147	27	4	0		@PuzzleBattle_NoNameTrial_6	BG\Battle\battle_bg_008.png	
148	27	5	0		@PuzzleBattle_NoNameTrial_6	BG\Battle\battle_bg_008.png	
149	28	3	1,3,4		@PuzzleBattle_NoNameTrial_7	BG\Battle\battle_bg_008.png	
150	28	2	1,2,5		@PuzzleBattle_NoNameTrial_7	BG\Battle\battle_bg_008.png	
151	28	2	1,3		@PuzzleBattle_NoNameTrial_7	BG\Battle\battle_bg_008.png	
152	28	3	2,4,5		@PuzzleBattle_NoNameTrial_7	BG\Battle\battle_bg_008.png	
