rechargeid	type	count	ImageBG	ImageTitle	ImagePage	title	Pagetext	awards	rank
2501	4	1	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_2501_info	@popsale_2501_title	10000_1001_680,30000_12501_100,30000_7182_500	12
2502	4	1	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_2502_info	@popsale_2502_title	10000_1001_1980,30000_12501_300,30000_7182_1000	13
2503	4	1	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_2503_info	@popsale_2503_title	10000_1001_2790,30000_12501_600,30000_7182_3000	14
2504	4	8	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_2504_info	@popsale_2504_title	10000_1001_980,30000_12501_100,70000_17_180	15
2505	4	1	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_2505_info	@popsale_2505_title	10000_1001_680,30000_12601_100,30000_7182_500	16
2506	4	1	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_2506_info	@popsale_2506_title	10000_1001_1980,30000_12601_300,30000_7182_1000	17
2507	4	1	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_2507_info	@popsale_2507_title	10000_1001_2790,30000_12601_600,30000_7182_3000	18
2508	4	8	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_2508_info	@popsale_2508_title	10000_1001_980,30000_12601_100,70000_1_180	19
2509	4	1	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_2509_info	@popsale_2509_title	10000_1001_980,30000_7301_1	20
2510	4	1	PopUpSale_bg.png	PopUpSale_img_02.png	PopUpSale_151_icon	@popsale_2510_info	@popsale_2510_title	10000_1001_1980,30000_7301_3	21
2514	1	1	popsale_AncientWeaponSystem_bg.png	popsale_2514_img.png	popsale_2514_icon.png	@popsale_2514_info	@popsale_2514_title	10000_1001_300,30000_7165_1,30000_7190_4,30000_7218_2	22
2515	1	1	popsale_132_bg.png	popsale_2515_img.png	popsale_2515_icon.png	@popsale_2515_info	@popsale_2515_title	10000_1001_1580,30000_7178_2,30000_6004_20	23
2516	1	2	popsale_AncientWeaponSystem_bg.png	popsale_2514_img.png	popsale_2513_icon.png	@popsale_2516_info	@popsale_2516_title	10000_1001_1680,30000_7179_1,30000_6004_20	24
3008	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3008_info	@popsale_3008_title	10000_1001_170,70000_1_40,30000_7209_1	25
3009	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3009_info	@popsale_3009_title	10000_1001_300,70000_1_90,30000_7209_3	26
3010	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3010_info	@popsale_3010_title	10000_1001_680,70000_1_180,30000_7209_6	27
3011	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3011_info	@popsale_3011_title	10000_1001_980,70000_1_300,30000_7209_24	28
3012	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3012_info	@popsale_3012_title	10000_1001_1980,70000_1_720,30000_7209_60	29
3188	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3188_info	@popsale_3188_title	10000_1001_170,70000_19_25,30000_7209_1	30
3189	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3189_info	@popsale_3189_title	10000_1001_300,70000_19_60,30000_7209_3	31
3190	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3190_info	@popsale_3190_title	10000_1001_680,70000_19_120,30000_7209_6	32
3191	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3191_info	@popsale_3191_title	10000_1001_980,70000_19_200,30000_7209_24	33
3192	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3192_info	@popsale_3192_title	10000_1001_1980,70000_19_400,30000_7209_60	34
3068	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3068_info	@popsale_3068_title	10000_1001_170,70000_7_25,30000_7209_1	35
3069	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3069_info	@popsale_3069_title	10000_1001_300,70000_7_60,30000_7209_3	36
3070	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3070_info	@popsale_3070_title	10000_1001_680,70000_7_120,30000_7209_6	37
3071	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3071_info	@popsale_3071_title	10000_1001_980,70000_7_200,30000_7209_24	38
3072	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3072_info	@popsale_3072_title	10000_1001_1980,70000_7_400,30000_7209_60	39
3138	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3138_info	@popsale_3138_title	10000_1001_170,70000_14_25,30000_7209_1	40
3139	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3139_info	@popsale_3139_title	10000_1001_300,70000_14_60,30000_7209_3	41
3140	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3140_info	@popsale_3140_title	10000_1001_680,70000_14_120,30000_7209_6	42
3141	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3141_info	@popsale_3141_title	10000_1001_980,70000_14_200,30000_7209_24	43
3142	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3142_info	@popsale_3142_title	10000_1001_1980,70000_14_400,30000_7209_60	44
3038	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3038_info	@popsale_3038_title	10000_1001_170,70000_4_25,30000_7209_1	45
3039	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3039_info	@popsale_3039_title	10000_1001_300,70000_4_60,30000_7209_3	46
3040	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3040_info	@popsale_3040_title	10000_1001_680,70000_4_120,30000_7209_6	47
3041	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3041_info	@popsale_3041_title	10000_1001_980,70000_4_200,30000_7209_24	48
3042	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3042_info	@popsale_3042_title	10000_1001_1980,70000_4_400,30000_7209_60	49
3228	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3228_info	@popsale_3228_title	10000_1001_170,70000_23_25,30000_7209_1	50
3229	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3229_info	@popsale_3229_title	10000_1001_300,70000_23_60,30000_7209_3	51
3230	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3230_info	@popsale_3230_title	10000_1001_680,70000_23_120,30000_7209_6	52
3231	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3231_info	@popsale_3231_title	10000_1001_980,70000_23_200,30000_7209_24	53
3232	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3232_info	@popsale_3232_title	10000_1001_1980,70000_23_400,30000_7209_60	54
3079	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3079_info	@popsale_3079_title	10000_1001_170,70000_8_25,30000_7209_1	55
3080	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3080_info	@popsale_3080_title	10000_1001_300,70000_8_60,30000_7209_3	56
3081	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3081_info	@popsale_3081_title	10000_1001_680,70000_8_120,30000_7209_6	57
3082	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3082_info	@popsale_3082_title	10000_1001_980,70000_8_200,30000_7209_24	58
3083	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3083_info	@popsale_3083_title	10000_1001_1980,70000_8_400,30000_7209_60	59
3089	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3089_info	@popsale_3089_title	10000_1001_170,70000_9_25,30000_7209_1	60
3090	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3090_info	@popsale_3090_title	10000_1001_300,70000_9_60,30000_7209_3	61
3091	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3091_info	@popsale_3091_title	10000_1001_680,70000_9_120,30000_7209_6	62
3092	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3092_info	@popsale_3092_title	10000_1001_980,70000_9_200,30000_7209_24	63
3093	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3093_info	@popsale_3093_title	10000_1001_1980,70000_9_400,30000_7209_60	64
3049	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3049_info	@popsale_3049_title	10000_1001_170,70000_5_25,30000_7209_1	65
3050	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3050_info	@popsale_3050_title	10000_1001_300,70000_5_60,30000_7209_3	66
3051	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3051_info	@popsale_3051_title	10000_1001_680,70000_5_120,30000_7209_6	67
3052	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3052_info	@popsale_3052_title	10000_1001_980,70000_5_200,30000_7209_24	68
3053	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3053_info	@popsale_3053_title	10000_1001_1980,70000_5_400,30000_7209_60	69
3129	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3129_info	@popsale_3129_title	10000_1001_170,70000_13_40,30000_7209_1	70
3130	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3130_info	@popsale_3130_title	10000_1001_300,70000_13_90,30000_7209_3	71
3131	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3131_info	@popsale_3131_title	10000_1001_680,70000_13_180,30000_7209_6	72
3132	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3132_info	@popsale_3132_title	10000_1001_980,70000_13_300,30000_7209_24	73
3133	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3133_info	@popsale_3133_title	10000_1001_1980,70000_13_720,30000_7209_60	74
3209	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3209_info	@popsale_3209_title	10000_1001_170,70000_21_25,30000_7209_1	75
3210	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3210_info	@popsale_3210_title	10000_1001_300,70000_21_60,30000_7209_3	76
3211	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3211_info	@popsale_3211_title	10000_1001_680,70000_21_120,30000_7209_6	77
3212	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3212_info	@popsale_3212_title	10000_1001_980,70000_21_200,30000_7209_24	78
3213	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3213_info	@popsale_3213_title	10000_1001_1980,70000_21_400,30000_7209_60	79
3239	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3239_info	@popsale_3239_title	10000_1001_170,70000_24_25,30000_7209_1	80
3240	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3240_info	@popsale_3240_title	10000_1001_300,70000_24_60,30000_7209_3	81
3241	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3241_info	@popsale_3241_title	10000_1001_680,70000_24_120,30000_7209_6	82
3242	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3242_info	@popsale_3242_title	10000_1001_980,70000_24_200,30000_7209_24	83
3243	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3243_info	@popsale_3243_title	10000_1001_1980,70000_24_400,30000_7209_60	84
3219	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3219_info	@popsale_3219_title	10000_1001_170,70000_22_25,30000_7209_1	85
3220	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3220_info	@popsale_3220_title	10000_1001_300,70000_22_60,30000_7209_3	86
3221	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3221_info	@popsale_3221_title	10000_1001_680,70000_22_120,30000_7209_6	87
3222	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3222_info	@popsale_3222_title	10000_1001_980,70000_22_200,30000_7209_24	88
3223	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3223_info	@popsale_3223_title	10000_1001_1980,70000_22_400,30000_7209_60	89
3179	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3179_info	@popsale_3179_title	10000_1001_170,70000_18_25,30000_7209_1	90
3180	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3180_info	@popsale_3180_title	10000_1001_300,70000_18_60,30000_7209_3	91
3181	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3181_info	@popsale_3181_title	10000_1001_680,70000_18_120,30000_7209_6	92
3182	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3182_info	@popsale_3182_title	10000_1001_980,70000_18_200,30000_7209_24	93
3183	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3183_info	@popsale_3183_title	10000_1001_1980,70000_18_400,30000_7209_60	94
3019	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3019_info	@popsale_3019_title	10000_1001_170,70000_2_40,30000_7209_1	95
3020	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3020_info	@popsale_3020_title	10000_1001_300,70000_2_90,30000_7209_3	96
3021	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3021_info	@popsale_3021_title	10000_1001_680,70000_2_180,30000_7209_6	97
3022	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3022_info	@popsale_3022_title	10000_1001_980,70000_2_300,30000_7209_24	98
3023	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3023_info	@popsale_3023_title	10000_1001_1980,70000_2_720,30000_7209_60	99
3109	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3109_info	@popsale_3109_title	10000_1001_170,70000_11_40,30000_7209_1	100
3110	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3110_info	@popsale_3110_title	10000_1001_300,70000_11_90,30000_7209_3	101
3111	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3111_info	@popsale_3111_title	10000_1001_680,70000_11_180,30000_7209_6	102
3112	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3112_info	@popsale_3112_title	10000_1001_980,70000_11_300,30000_7209_24	103
3113	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3113_info	@popsale_3113_title	10000_1001_1980,70000_11_720,30000_7209_60	104
3119	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3119_info	@popsale_3119_title	10000_1001_170,70000_12_40,30000_7209_1	105
3118	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3118_info	@popsale_3118_title	10000_1001_300,70000_12_90,30000_7209_3	106
3121	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3121_info	@popsale_3121_title	10000_1001_680,70000_12_180,30000_7209_6	107
3122	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3122_info	@popsale_3122_title	10000_1001_980,70000_12_300,30000_7209_24	108
3123	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3123_info	@popsale_3123_title	10000_1001_1980,70000_12_720,30000_7209_60	109
3159	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3159_info	@popsale_3159_title	10000_1001_170,70000_16_40,30000_7209_1	110
3160	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3160_info	@popsale_3160_title	10000_1001_300,70000_16_90,30000_7209_3	111
3161	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3161_info	@popsale_3161_title	10000_1001_680,70000_16_180,30000_7209_6	112
3162	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3162_info	@popsale_3162_title	10000_1001_980,70000_16_300,30000_7209_24	113
3163	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3163_info	@popsale_3163_title	10000_1001_1980,70000_16_720,30000_7209_60	114
3199	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3199_info	@popsale_3199_title	10000_1001_170,70000_20_25,30000_7209_1	115
3200	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3200_info	@popsale_3200_title	10000_1001_300,70000_20_60,30000_7209_3	116
3201	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3201_info	@popsale_3201_title	10000_1001_680,70000_20_120,30000_7209_6	117
3202	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3202_info	@popsale_3202_title	10000_1001_980,70000_20_200,30000_7209_24	118
3203	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3203_info	@popsale_3203_title	10000_1001_1980,70000_20_400,30000_7209_60	119
3059	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3059_info	@popsale_3059_title	10000_1001_170,70000_6_40,30000_7209_1	120
3060	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3060_info	@popsale_3060_title	10000_1001_300,70000_6_90,30000_7209_3	121
3061	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3061_info	@popsale_3061_title	10000_1001_680,70000_6_180,30000_7209_6	122
3062	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3062_info	@popsale_3062_title	10000_1001_980,70000_6_300,30000_7209_24	123
3063	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3063_info	@popsale_3063_title	10000_1001_1980,70000_6_720,30000_7209_60	124
3099	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3099_info	@popsale_3099_title	10000_1001_170,70000_10_40,30000_7209_1	125
3100	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3100_info	@popsale_3100_title	10000_1001_300,70000_10_90,30000_7209_3	126
3101	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3101_info	@popsale_3101_title	10000_1001_680,70000_10_180,30000_7209_6	127
3102	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3102_info	@popsale_3102_title	10000_1001_980,70000_10_300,30000_7209_24	128
3103	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3103_info	@popsale_3103_title	10000_1001_1980,70000_10_720,30000_7209_60	129
3169	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3169_info	@popsale_3169_title	10000_1001_170,70000_17_40,30000_7209_1	130
3170	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3170_info	@popsale_3170_title	10000_1001_300,70000_17_90,30000_7209_3	131
3171	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3171_info	@popsale_3171_title	10000_1001_680,70000_17_180,30000_7209_6	132
3172	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3172_info	@popsale_3172_title	10000_1001_980,70000_17_300,30000_7209_24	133
3173	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3173_info	@popsale_3173_title	10000_1001_1980,70000_17_720,30000_7209_60	134
3029	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3029_info	@popsale_3029_title	10000_1001_170,70000_3_25,30000_7209_1	135
3030	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3030_info	@popsale_3030_title	10000_1001_300,70000_3_60,30000_7209_3	136
3031	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3031_info	@popsale_3031_title	10000_1001_680,70000_3_120,30000_7209_6	137
3032	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3032_info	@popsale_3032_title	10000_1001_980,70000_3_200,30000_7209_24	138
3033	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3033_info	@popsale_3033_title	10000_1001_1980,70000_3_400,30000_7209_60	139
3149	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3149_info	@popsale_3149_title	10000_1001_170,70000_15_25,30000_7209_1	140
3150	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3150_info	@popsale_3150_title	10000_1001_300,70000_15_60,30000_7209_3	141
3151	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3151_info	@popsale_3151_title	10000_1001_680,70000_15_120,30000_7209_6	142
3152	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3152_info	@popsale_3152_title	10000_1001_980,70000_15_200,30000_7209_24	143
3153	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_3153_info	@popsale_3153_title	10000_1001_1980,70000_15_400,30000_7209_60	144
4211	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4211_info	@popsale_4211_title	10000_1001_680,70000_21_120,30000_7209_12	145
4212	3	10	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4212_info	@popsale_4212_title	10000_1001_1280,70000_21_265,30000_7209_30	146
4221	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4221_info	@popsale_4221_title	10000_1001_680,70000_22_120,30000_7209_12	147
4222	3	10	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4222_info	@popsale_4222_title	10000_1001_1280,70000_22_265,30000_7209_30	148
4181	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4181_info	@popsale_4181_title	10000_1001_680,70000_18_120,30000_7209_6	149
4182	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4182_info	@popsale_4182_title	10000_1001_1980,70000_18_200,30000_7209_24	150
4183	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4183_info	@popsale_4183_title	10000_1001_3280,70000_18_400,30000_7209_60	151
4224	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4224_info	@popsale_4224_title	10000_1001_680,70000_22_120,30000_7209_6	152
4225	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4225_info	@popsale_4225_title	10000_1001_1980,70000_22_200,30000_7209_24	153
4226	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4226_info	@popsale_4226_title	10000_1001_3280,70000_22_400,30000_7209_60	154
4184	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4184_info	@popsale_4184_title	10000_1001_680,70000_18_120,30000_7209_6	155
4185	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4185_info	@popsale_4185_title	10000_1001_1980,70000_18_200,30000_7209_24	156
4186	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4186_info	@popsale_4186_title	10000_1001_3280,70000_18_400,30000_7209_60	157
4141	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4141_info	@popsale_4141_title	10000_1001_680,70000_14_120,30000_7209_12	158
4142	3	10	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4142_info	@popsale_4142_title	10000_1001_1280,70000_14_265,30000_7209_30	159
4151	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4151_info	@popsale_4151_title	10000_1001_680,70000_15_120,30000_7209_12	160
4152	3	10	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4152_info	@popsale_4152_title	10000_1001_1280,70000_15_265,30000_7209_30	161
4051	3	8	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4051_info	@popsale_4051_title	10000_1001_680,70000_5_200,30000_7209_12	162
4101	3	1	popsale_190_bg.png	popsale_190_img.png	popsale_190_icon.png	@popsale_4101_info	@popsale_4101_title	10000_1001_680,70000_11_180,30000_7209_12	163
