id	nextStage	type	spine	image	battleBg	stageName
2027	2028		Spine/CharacterSpine,NG_03000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_2027
2028	2029		Spine/CharacterSpine,NG_04000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_2028
2029	2030		Spine/CharacterSpine,Enemy09	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_2029
2030	0		Spine/CharacterSpine,NG_06000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_2030
3001	3002		Spine/CharacterSpine,NG_01000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3001
3002	3003		Spine/CharacterSpine,NG_02000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3002
3003	3004		Spine/CharacterSpine,NG_03000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3003
3004	3005		Spine/CharacterSpine,Enemy09	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3004
3005	3006		Spine/CharacterSpine,NG_05000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3005
3006	3007		Spine/CharacterSpine,NG_06000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3006
3007	3008		Spine/CharacterSpine,NG_07000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3007
3008	3009		Spine/CharacterSpine,Enemy09	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3008
3009	3010		Spine/CharacterSpine,NG_09000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3009
3010	3011		Spine/CharacterSpine,NG_10000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3010
3011	3012		Spine/CharacterSpine,NG_11000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3011
3012	3013		Spine/CharacterSpine,Enemy09	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3012
3013	3014		Spine/CharacterSpine,NG_13000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3013
3014	3015		Spine/CharacterSpine,NG_14000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3014
3015	3016		Spine/CharacterSpine,NG_15000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3015
3016	3017		Spine/CharacterSpine,NG_16000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3016
3017	3018		Spine/CharacterSpine,NG_17000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3017
3018	3019		Spine/CharacterSpine,Enemy09	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3018
3019	3020		Spine/CharacterSpine,NG_19000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3019
3020	3021		Spine/CharacterSpine,NG_20000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3020
3021	3022		Spine/CharacterSpine,NG_21000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3021
3022	3023		Spine/CharacterSpine,NG_22000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3022
3023	3024		Spine/CharacterSpine,NG_23000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3023
3024	3025		Spine/CharacterSpine,Enemy09	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3024
3025	3026		Spine/CharacterSpine,NG_01000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3025
3026	3027		Spine/CharacterSpine,NG_02000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3026
3027	3028		Spine/CharacterSpine,NG_03000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3027
3028	3029		Spine/CharacterSpine,NG_04000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3028
3029	3030		Spine/CharacterSpine,Enemy09	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3029
3030	0		Spine/CharacterSpine,NG_06000	BG/Tower/Tower_1LifeStage_1.png	battle_bg_003	@FearlessTowerStage_3030
