id	nextstage	monsterid	reward	stagebg	buffdesc	spine	scale	關卡地圖背景	關卡名稱
52	53	0,20020,20002,20016,20012,20016	10000_1001_50,30000_7197_2,10000_1002_77355	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_12000	1	battle_bg_022	@TowerName052
53	54	0,20022,20004,20012,20017,20012	10000_1001_50,30000_7197_2,10000_1002_77355	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_17000	1	battle_bg_022	@TowerName053
54	55	0,20023,20003,20008,20021,20008	10000_1001_50,30000_7197_2,10000_1002_77355	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_21000	1	battle_bg_022	@TowerName054
55	56	0,20005,20008,20019,20002,20019	10000_1001_50,30000_7197_5,10000_1002_77355	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_02000	1	battle_bg_015	@TowerName055
56	57	0,20007,20013,20005,20006,20005	10000_1001_50,30000_7197_2,10000_1002_77355	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_06000	1	battle_bg_022	@TowerName056
57	58	0,20018,20015,20008,20008,20008	10000_1001_50,30000_7197_2,10000_1002_77355	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_08000	1	battle_bg_022	@TowerName057
58	59	0,20019,20008,20008,20013,20008	10000_1001_50,30000_7197_2,10000_1002_77355	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_13000	1	battle_bg_022	@TowerName058
59	60	0,20004,20006,20017,20015,20017	10000_1001_50,30000_7197_2,10000_1002_77355	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_15000	1	battle_bg_022	@TowerName059
60	61	0,20010,20008,20008,20008,20008	10000_1001_50,30000_7197_5,10000_1002_77355	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_08000	1	battle_bg_015	@TowerName060
61	62	0,20016,20003,20005,20006,20005	10000_1001_50,30000_7197_2,10000_1002_91005	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_06000	1	battle_bg_022	@TowerName061
62	63	0,20020,20009,20018,20008,20018	10000_1001_50,30000_7197_2,10000_1002_91005	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_08000	1	battle_bg_022	@TowerName062
63	64	0,20022,20011,20006,20003,20006	10000_1001_50,30000_7197_2,10000_1002_91005	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_03000	1	battle_bg_022	@TowerName063
64	65	0,20023,20012,20014,20009,20014	10000_1001_50,30000_7197_2,10000_1002_91005	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName064
65	66	0,20005,20017,20001,20011,20001	10000_1001_50,30000_7197_5,10000_1002_91005	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_11000	1	battle_bg_015	@TowerName065
66	67	0,20007,20021,20019,20012,20019	10000_1001_50,30000_7197_2,10000_1002_91005	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_12000	1	battle_bg_022	@TowerName066
67	68	0,20018,20002,20001,20017,20001	10000_1001_50,30000_7197_2,10000_1002_91005	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_17000	1	battle_bg_022	@TowerName067
68	69	0,20019,20006,20016,20021,20016	10000_1001_50,30000_7197_2,10000_1002_91005	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_21000	1	battle_bg_022	@TowerName068
69	70	0,20004,20008,20012,20002,20012	10000_1001_50,30000_7197_2,10000_1002_91005	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_02000	1	battle_bg_022	@TowerName069
70	71	0,20010,20008,20008,20006,20008	10000_1001_50,30000_7197_5,10000_1002_91005	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_06000	1	battle_bg_015	@TowerName070
71	72	0,20016,20017,20019,20008,20019	10000_1001_50,30000_7197_2,10000_1002_91005	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_08000	1	battle_bg_022	@TowerName071
72	73	0,20020,20008,20005,20013,20005	10000_1001_50,30000_7197_2,10000_1002_91005	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_13000	1	battle_bg_022	@TowerName072
73	74	0,20022,20005,20008,20015,20008	10000_1001_50,30000_7197_2,10000_1002_91005	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_15000	1	battle_bg_022	@TowerName073
74	75	0,20023,20018,20008,20008,20008	10000_1001_50,30000_7197_2,10000_1002_91005	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_08000	1	battle_bg_022	@TowerName074
75	76	0,20005,20006,20017,20011,20017	10000_1001_50,30000_7197_5,10000_1002_91005	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_11000	1	battle_bg_015	@TowerName075
76	77	0,20007,20014,20008,20017,20008	10000_1001_50,30000_7197_2,10000_1002_91005	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_17000	1	battle_bg_022	@TowerName076
77	78	0,20018,20001,20005,20022,20005	10000_1001_50,30000_7197_2,10000_1002_91005	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_22000	1	battle_bg_022	@TowerName077
78	79	0,20019,20019,20018,20009,20018	10000_1001_50,30000_7197_2,10000_1002_91005	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName078
79	80	0,20004,20001,20006,20003,20006	10000_1001_50,30000_7197_2,10000_1002_91005	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_03000	1	battle_bg_022	@TowerName079
80	81	0,20010,20016,20014,20009,20014	10000_1001_50,30000_7197_5,10000_1002_91005	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_09000	1	battle_bg_015	@TowerName080
81	82	0,20016,20012,20001,20011,20001	10000_1001_50,30000_7197_2,10000_1002_107065	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_11000	1	battle_bg_022	@TowerName081
82	83	0,20020,20008,20019,20012,20019	10000_1001_50,30000_7197_2,10000_1002_107065	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_12000	1	battle_bg_022	@TowerName082
83	84	0,20022,20019,20001,20017,20001	10000_1001_50,30000_7197_2,10000_1002_107065	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_17000	1	battle_bg_022	@TowerName083
84	85	0,20023,20008,20016,20021,20016	10000_1001_50,30000_7197_2,10000_1002_107065	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_21000	1	battle_bg_022	@TowerName084
85	86	0,20005,20005,20012,20002,20012	10000_1001_50,30000_7197_5,10000_1002_107065	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_02000	1	battle_bg_015	@TowerName085
86	87	0,20007,20018,20008,20006,20008	10000_1001_50,30000_7197_2,10000_1002_107065	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_06000	1	battle_bg_022	@TowerName086
87	88	0,20018,20006,20019,20008,20019	10000_1001_50,30000_7197_2,10000_1002_107065	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_08000	1	battle_bg_022	@TowerName087
88	89	0,20019,20014,20005,20013,20005	10000_1001_50,30000_7197_2,10000_1002_107065	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_13000	1	battle_bg_022	@TowerName088
89	90	0,20004,20001,20008,20015,20008	10000_1001_50,30000_7197_2,10000_1002_107065	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_15000	1	battle_bg_022	@TowerName089
90	91	0,20010,20019,20008,20008,20008	10000_1001_50,30000_7197_5,10000_1002_107065	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_08000	1	battle_bg_015	@TowerName090
91	92	0,20016,20001,20017,20003,20017	10000_1001_50,30000_7197_2,10000_1002_107065	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_03000	1	battle_bg_022	@TowerName091
92	93	0,20020,20016,20008,20009,20008	10000_1001_50,30000_7197_2,10000_1002_107065	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName092
93	94	0,20022,20012,20005,20011,20005	10000_1001_50,30000_7197_2,10000_1002_107065	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_11000	1	battle_bg_022	@TowerName093
94	95	0,20023,20008,20018,20012,20018	10000_1001_50,30000_7197_2,10000_1002_107065	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_12000	1	battle_bg_022	@TowerName094
95	96	0,20005,20008,20006,20017,20006	10000_1001_50,30000_7197_5,10000_1002_107065	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_17000	1	battle_bg_015	@TowerName095
96	97	0,20007,20008,20014,20021,20014	10000_1001_50,30000_7197_2,10000_1002_107065	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_21000	1	battle_bg_022	@TowerName096
97	98	0,20018,20017,20019,20002,20020	10000_1001_50,30000_7197_2,10000_1002_107065	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_02000	1	battle_bg_022	@TowerName097
98	99	0,20019,20008,20005,20006,20001	10000_1001_50,30000_7197_2,10000_1002_107065	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_06000	1	battle_bg_022	@TowerName098
99	100	0,20004,20005,20006,20008,20001	10000_1001_50,30000_7197_2,10000_1002_107065	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_08000	1	battle_bg_022	@TowerName099
100	0	0,20010,20018,20011,20013,20001	10000_1001_50,30000_7197_5,10000_1002_107065	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_13000	1	battle_bg_015	@TowerName100
