Level	needItem
250	10000_1002_1154620,30000_7001_1004090,30000_7181_4100
251	10000_1002_1159220,30000_7001_1008090
252	10000_1002_1163820,30000_7001_1012090
253	10000_1002_1168420,30000_7001_1016090
254	10000_1002_1173020,30000_7001_1020090
255	10000_1002_1177620,30000_7001_1024090,30000_7181_4200
256	10000_1002_1182220,30000_7001_1028090
257	10000_1002_1186820,30000_7001_1032090
258	10000_1002_1191420,30000_7001_1036090
259	10000_1002_1196020,30000_7001_1040090
260	10000_1002_1200620,30000_7001_1044090,30000_7181_4300
261	10000_1002_1205220,30000_7001_1048090
262	10000_1002_1209820,30000_7001_1052090
263	10000_1002_1214420,30000_7001_1056090
264	10000_1002_1219020,30000_7001_1060090
265	10000_1002_1223620,30000_7001_1064090,30000_7181_4400
266	10000_1002_1228220,30000_7001_1068090
267	10000_1002_1232820,30000_7001_1072090
268	10000_1002_1237420,30000_7001_1076090
269	10000_1002_1242020,30000_7001_1080090
270	10000_1002_1246620,30000_7001_1084090,30000_7181_4500
271	10000_1002_1251220,30000_7001_1088090
272	10000_1002_1255820,30000_7001_1092090
273	10000_1002_1260420,30000_7001_1096090
274	10000_1002_1265020,30000_7001_1100090
275	10000_1002_1269620,30000_7001_1104090,30000_7181_4600
276	10000_1002_1274220,30000_7001_1108090
277	10000_1002_1278820,30000_7001_1112090
278	10000_1002_1283420,30000_7001_1116090
279	10000_1002_1288020,30000_7001_1120090
280	10000_1002_1292620,30000_7001_1124090,30000_7181_4700
281	10000_1002_1297220,30000_7001_1128090
282	10000_1002_1301820,30000_7001_1132090
283	10000_1002_1306420,30000_7001_1136090
284	10000_1002_1311020,30000_7001_1140090
285	10000_1002_1315620,30000_7001_1144090,30000_7181_4800
286	10000_1002_1320220,30000_7001_1148090
287	10000_1002_1324820,30000_7001_1152090
288	10000_1002_1329420,30000_7001_1156090
289	10000_1002_1334020,30000_7001_1160090
290	10000_1002_1338620,30000_7001_1164090,30000_7181_4900
291	10000_1002_1343220,30000_7001_1168090
292	10000_1002_1347820,30000_7001_1172090
293	10000_1002_1352420,30000_7001_1176090
294	10000_1002_1357020,30000_7001_1180090
295	10000_1002_1361620,30000_7001_1184090,30000_7181_5000
296	10000_1002_1366220,30000_7001_1188090
297	10000_1002_1370820,30000_7001_1192090
298	10000_1002_1375420,30000_7001_1196090
299	10000_1002_1380020,30000_7001_1200090
300	10000_1002_1384620,30000_7001_1204090,30000_7181_5100
301	10000_1002_1389220,30000_7001_1208090
302	10000_1002_1393820,30000_7001_1212090
303	10000_1002_1398420,30000_7001_1216090
304	10000_1002_1403020,30000_7001_1220090
305	10000_1002_1407620,30000_7001_1224090,30000_7181_5200
306	10000_1002_1412220,30000_7001_1228090
307	10000_1002_1416820,30000_7001_1232090
308	10000_1002_1421420,30000_7001_1236090
309	10000_1002_1426020,30000_7001_1240090
310	10000_1002_1430620,30000_7001_1244090,30000_7181_5300
311	10000_1002_1435220,30000_7001_1248090
312	10000_1002_1439820,30000_7001_1252090
313	10000_1002_1444420,30000_7001_1256090
314	10000_1002_1449020,30000_7001_1260090
315	10000_1002_1453620,30000_7001_1264090,30000_7181_5400
316	10000_1002_1458220,30000_7001_1268090
317	10000_1002_1462820,30000_7001_1272090
318	10000_1002_1467420,30000_7001_1276090
319	10000_1002_1472020,30000_7001_1280090
320	10000_1002_1476620,30000_7001_1284090,30000_7181_5500
321	10000_1002_1481220,30000_7001_1288090
322	10000_1002_1485820,30000_7001_1292090
323	10000_1002_1490420,30000_7001_1296090
324	10000_1002_1495020,30000_7001_1300090
325	10000_1002_1499620,30000_7001_1304090,30000_7181_5600
326	10000_1002_1504220,30000_7001_1308090
327	10000_1002_1508820,30000_7001_1312090
328	10000_1002_1513420,30000_7001_1316090
329	10000_1002_1518020,30000_7001_1320090
330	10000_1002_1522620,30000_7001_1324090,30000_7181_5700
331	10000_1002_1527220,30000_7001_1328090
332	10000_1002_1531820,30000_7001_1332090
333	10000_1002_1536420,30000_7001_1336090
334	10000_1002_1541020,30000_7001_1340090
335	10000_1002_1545620,30000_7001_1344090,30000_7181_5800
336	10000_1002_1550220,30000_7001_1348090
337	10000_1002_1554820,30000_7001_1352090
338	10000_1002_1559420,30000_7001_1356090
339	10000_1002_1564020,30000_7001_1360090
340	10000_1002_1568620,30000_7001_1364090,30000_7181_5900
341	10000_1002_1573220,30000_7001_1368090
342	10000_1002_1577820,30000_7001_1372090
343	10000_1002_1582420,30000_7001_1376090
344	10000_1002_1587020,30000_7001_1380090
345	10000_1002_1591620,30000_7001_1384090,30000_7181_6000
346	10000_1002_1596220,30000_7001_1388090
347	10000_1002_1600820,30000_7001_1392090
348	10000_1002_1605420,30000_7001_1396090
349	10000_1002_1610020,30000_7001_1400090
350	
