id	month	days	awards
223	8	11	10000_1001_150
224	8	12	30000_7001_7500
225	8	13	10000_1026_90
226	8	14	30000_7030_1
227	8	15	30000_6004_2
228	8	16	10000_1001_150
229	8	17	30000_7001_7500
230	8	18	10000_1026_90
231	8	19	30000_7030_1
232	8	20	30000_6004_2
233	8	21	10000_1001_200
234	8	22	30000_7001_10000
235	8	23	10000_1026_120
236	8	24	30000_7031_1
237	8	25	30000_6003_1
238	8	26	10000_1001_200
239	8	27	30000_7001_10000
240	8	28	10000_1026_120
241	8	29	30000_7031_1
242	8	30	30000_6003_2
243	8	31	10000_1001_200
244	9	1	10000_1001_100
245	9	2	30000_7001_5000
246	9	3	10000_1026_60
247	9	4	30000_7029_1
248	9	5	30000_6004_1
249	9	6	10000_1001_100
250	9	7	30000_7001_5000
251	9	8	10000_1026_60
252	9	9	30000_7029_1
253	9	10	30000_6004_1
254	9	11	10000_1001_150
255	9	12	30000_7001_7500
256	9	13	10000_1026_90
257	9	14	30000_7030_1
258	9	15	30000_6004_2
259	9	16	10000_1001_150
260	9	17	30000_7001_7500
261	9	18	10000_1026_90
262	9	19	30000_3001_1
263	9	20	30000_3501_1
264	9	21	30000_3801_1
265	9	22	30000_7185_1
266	9	23	10000_1001_100
267	9	24	30000_3001_1
268	9	25	30000_3501_1
269	9	26	30000_3801_1
270	9	27	30000_7185_1
271	9	28	30000_6004_5
272	9	29	30000_5001_100
273	9	30	30000_5003_20
274	10	1	30000_5005_20
275	10	2	30000_5006_20
276	10	3	10000_1001_100
277	10	4	30000_5007_20
278	10	5	30000_5008_20
279	10	6	30000_5010_20
280	10	7	30000_5011_20
281	10	8	30000_6004_5
282	10	9	30000_5013_20
283	10	10	30000_5012_20
284	10	11	30000_3001_1
285	10	12	30000_3501_1
286	10	13	30000_3801_1
287	10	14	30000_7185_1
288	10	15	10000_1001_100
289	10	16	30000_3001_1
290	10	17	30000_3501_1
291	10	18	30000_3801_1
292	10	19	30000_7185_1
293	10	20	30000_6004_5
294	10	21	30000_5001_100
295	10	22	30000_5003_20
296	10	23	30000_5005_20
297	10	24	30000_5006_20
298	10	25	10000_1001_100
299	10	26	30000_5007_20
300	10	27	30000_5008_20
301	10	28	30000_5010_20
302	10	29	30000_5011_20
303	10	30	30000_6004_5
304	10	31	30000_5013_20
305	11	1	30000_5012_20
306	11	2	30000_3001_1
307	11	3	30000_3501_1
308	11	4	30000_3801_1
309	11	5	30000_7185_1
310	11	6	10000_1001_100
311	11	7	30000_3001_1
312	11	8	30000_3501_1
313	11	9	30000_3801_1
314	11	10	30000_7185_1
315	11	11	30000_6004_5
316	11	12	30000_5001_100
317	11	13	30000_5003_20
318	11	14	30000_5005_20
319	11	15	30000_5006_20
320	11	16	10000_1001_100
321	11	17	30000_5007_20
322	11	18	30000_5008_20
323	11	19	30000_5010_20
324	11	20	30000_5011_20
325	11	21	30000_6004_5
326	11	22	30000_5013_20
327	11	23	30000_5012_20
328	11	24	30000_3001_1
329	11	25	30000_3501_1
330	11	26	30000_3801_1
331	11	27	30000_7185_1
332	11	28	10000_1001_100
333	11	29	30000_3001_1
334	11	30	30000_3501_1
335	12	1	10000_1001_100
336	12	2	30000_7001_5000
337	12	3	10000_1026_60
338	12	4	30000_7029_1
339	12	5	30000_6004_1
340	12	6	10000_1001_100
341	12	7	30000_7001_5000
342	12	8	10000_1026_60
343	12	9	30000_7029_1
344	12	10	30000_6004_1
345	12	11	10000_1001_150
346	12	12	30000_7001_7500
347	12	13	10000_1026_90
348	12	14	30000_7030_1
349	12	15	30000_6004_2
350	12	16	10000_1001_150
351	12	17	30000_7001_7500
352	12	18	10000_1026_90
353	12	19	30000_7030_1
354	12	20	30000_6004_2
355	12	21	10000_1001_200
356	12	22	30000_7001_10000
357	12	23	10000_1026_120
358	12	24	30000_7031_1
359	12	25	30000_6003_1
360	12	26	10000_1001_200
361	12	27	30000_7001_10000
362	12	28	10000_1026_120
363	12	29	30000_7031_1
364	12	30	30000_6003_2
365	12	31	10000_1001_200
1001			10000_1002_30000,30000_7001_50000
1002			10000_1002_30000,30000_7001_50000
1003			10000_1002_30000,30000_7001_50000
1004			10000_1001_100,30000_7001_50000
10001			1_3,2_7,3_14,4_28
