流水號	id	type	等級限制	需求人數	nextstage	monsterid	reward	stagebg	spine	scale	關卡地圖背景	關卡名稱
26	26	1	130	5	27	0,75_1_40018,75_1_40015,75_1_40018,75_1_40018,75_1_40010	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_07000	1	battle_bg_016	@TowerName01_026
27	27	1	130	5	28	0,76_1_40013,76_1_40014,76_1_40013,76_1_40017,76_1_40007	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_09000	1	battle_bg_016	@TowerName01_027
28	28	1	130	5	29	0,77_1_40014,77_1_40009,77_1_40014,77_1_40012,77_1_40013	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_11000	1	battle_bg_016	@TowerName01_028
29	29	1	130	5	30	0,78_1_40008,78_1_40010,78_1_40008,78_1_40013,78_1_40009	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_07000	1	battle_bg_016	@TowerName01_029
30	30	1	130	5	31	0,79_1_40013,79_1_40007,79_1_40013,79_1_40009,79_1_40002	10000_1001_50,30000_5005_30,30000_7198_1,30000_9001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_05000	1	battle_bg_024	@TowerName01_030
31	31	1	130	5	32	0,80_1_40004,80_1_40009,80_1_40004,80_1_40012,80_1_40007	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_11000	1	battle_bg_016	@TowerName01_031
32	32	1	130	5	33	0,81_1.1_40018,81_1.1_40005,81_1.1_40018,81_1.1_40005,81_1.1_40013	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_06000	1	battle_bg_016	@TowerName01_032
33	33	1	130	5	34	0,82_1.1_40003,82_1.1_40006,82_1.1_40003,82_1.1_40016,82_1.1_40005	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_08000	1	battle_bg_016	@TowerName01_033
34	34	1	130	5	35	0,83_1.1_40019,83_1.1_40014,83_1.1_40019,83_1.1_40005,83_1.1_40005	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_06000	1	battle_bg_016	@TowerName01_034
35	35	1	130	5	36	0,84_1.1_40008,84_1.1_40007,84_1.1_40008,84_1.1_40017,84_1.1_40006	10000_1001_50,30000_5005_30,30000_7198_1,30000_9001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_09000	1	battle_bg_024	@TowerName01_035
36	36	1	130	5	37	0,85_1.1_40003,85_1.1_40015,85_1.1_40003,85_1.1_40009,85_1.1_40003	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_05000	1	battle_bg_016	@TowerName01_036
37	37	1	130	5	38	0,86_1.1_40009,86_1.1_40010,86_1.1_40009,86_1.1_40005,86_1.1_40015	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_06000	1	battle_bg_016	@TowerName01_037
38	38	1	130	5	39	0,87_1.1_40014,87_1.1_40007,87_1.1_40014,87_1.1_40011,87_1.1_40014	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_12000	1	battle_bg_016	@TowerName01_038
39	39	1	130	5	40	0,88_1.1_40004,88_1.1_40013,88_1.1_40004,88_1.1_40011,88_1.1_40009	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_12000	1	battle_bg_016	@TowerName01_039
40	40	1	130	5	41	0,89_1.1_40013,89_1.1_40009,89_1.1_40013,89_1.1_40000,89_1.1_40010	10000_1001_50,30000_5005_30,30000_7198_1,30000_9001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_01000	1	battle_bg_024	@TowerName01_040
41	41	1	130	5	42	0,90_1.1_40004,90_1.1_40002,90_1.1_40011,90_1.1_40014,90_1.1_40007	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_07000	1	battle_bg_016	@TowerName01_041
42	42	1	130	5	43	0,91_1.1_40008,91_1.1_40007,91_1.1_40011,91_1.1_40005,91_1.1_40009	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_06000	1	battle_bg_016	@TowerName01_042
43	43	1	130	5	44	0,92_1.1_40009,92_1.1_40013,92_1.1_40003,92_1.1_40006,92_1.1_40005	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_03000	1	battle_bg_016	@TowerName01_043
44	44	1	130	5	45	0,93_1.1_40003,93_1.1_40005,93_1.1_40007,93_1.1_40014,93_1.1_40003	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_07000	1	battle_bg_016	@TowerName01_044
45	45	1	130	5	46	0,94_1.1_40019,94_1.1_40005,94_1.1_40008,94_1.1_40007,94_1.1_40019	10000_1001_50,30000_5005_30,30000_7198_1,30000_9001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_02000	1	battle_bg_024	@TowerName01_045
46	46	1	130	5	47	0,95_1.1_40018,95_1.1_40006,95_1.1_40004,95_1.1_40015,95_1.1_40018	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_10000	1	battle_bg_016	@TowerName01_046
47	47	1	130	5	48	0,96_1.1_40013,96_1.1_40003,96_1.1_40018,96_1.1_40010,96_1.1_40013	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_10000	1	battle_bg_016	@TowerName01_047
48	48	1	130	5	49	0,97_1.1_40014,97_1.1_40015,97_1.1_40017,97_1.1_40007,97_1.1_40014	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_02000	1	battle_bg_016	@TowerName01_048
49	49	1	130	5	50	0,98_1.1_40008,98_1.1_40014,98_1.1_40012,98_1.1_40013,98_1.1_40008	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_07000	1	battle_bg_016	@TowerName01_049
50	50	1	130	5	0	0,99_1.1_40013,99_1.1_40009,99_1.1_40013,99_1.1_40009,99_1.1_40013	10000_1001_200,30000_5005_100,30000_7198_1,30000_9001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_05000	1	battle_bg_024	@TowerName01_050
51	1	2	130	5	2	0,50_1_40028,50_1_40011,50_1_40026,50_1_40025,50_1_40022	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_03000	1	battle_bg_022	@TowerName001
52	2	2	130	5	3	0,51_1_40018,51_1_40025,51_1_40027,51_1_40022,51_1_40022	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName002
53	3	2	130	5	4	0,52_1_40009,52_1_40018,52_1_40025,52_1_40027,52_1_40027	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_11000	1	battle_bg_022	@TowerName003
54	4	2	130	5	5	0,53_1_40011,53_1_40028,53_1_40026,53_1_40011,53_1_40011	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_12000	1	battle_bg_022	@TowerName004
55	5	2	130	5	6	0,54_1_40019,54_1_40018,54_1_40017,54_1_40016,54_1_40015	10000_1001_50,30000_5003_30,30000_7198_1,30000_9002_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_17000	1	battle_bg_015	@TowerName005
56	6	2	130	5	7	0,55_1_40018,55_1_40017,55_1_40016,55_1_40015,55_1_40014	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_11000	1	battle_bg_022	@TowerName006
57	7	2	130	5	8	0,56_1_40024,56_1_40012,56_1_40011,56_1_40023,56_1_40009	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_02000	1	battle_bg_022	@TowerName007
58	8	2	130	5	9	0,57_1_40014,57_1_40024,57_1_40012,57_1_40011,57_1_40023	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_06000	1	battle_bg_022	@TowerName008
59	9	2	130	5	10	0,58_1_40018,58_1_40009,58_1_40023,58_1_40018,58_1_40025	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName009
60	10	2	130	5	11	0,59_1_40024,59_1_40012,59_1_40011,59_1_40023,59_1_40009	10000_1001_50,30000_5003_30,30000_7198_1,30000_9002_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_13000	1	battle_bg_015	@TowerName010
61	11	2	130	5	12	0,60_1_40028,60_1_40022,60_1_40027,60_1_40028,60_1_40022	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_15000	1	battle_bg_022	@TowerName011
62	12	2	130	5	13	0,61_1_40018,61_1_40016,61_1_40014,61_1_40016,61_1_40023	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_06000	1	battle_bg_022	@TowerName012
63	13	2	130	5	14	0,62_1_40011,62_1_40022,62_1_40025,62_1_40009,62_1_40011	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_03000	1	battle_bg_022	@TowerName013
64	14	2	130	5	15	0,63_1_40019,63_1_40017,63_1_40015,63_1_40024,63_1_40011	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName014
65	15	2	130	5	16	0,64_1_40018,64_1_40009,64_1_40023,64_1_40011,64_1_40012	10000_1001_50,30000_5003_30,30000_7198_1,30000_9002_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_11000	1	battle_bg_015	@TowerName015
66	16	2	130	5	17	0,65_1_40011,65_1_40022,65_1_40025,65_1_40009,65_1_40011	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_12000	1	battle_bg_022	@TowerName016
67	17	2	130	5	18	0,66_1_40009,66_1_40011,66_1_40024,66_1_40015,66_1_40017	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_17000	1	battle_bg_022	@TowerName017
68	18	2	130	5	19	0,67_1_40014,67_1_40011,67_1_40009,67_1_40011,67_1_40021	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_21000	1	battle_bg_022	@TowerName018
69	19	2	130	5	20	0,68_1_40028,68_1_40021,68_1_40026,68_1_40027,68_1_40018	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_02000	1	battle_bg_022	@TowerName019
70	20	2	130	5	21	0,69_1_40024,69_1_40014,69_1_40025,69_1_40009,69_1_40011	10000_1001_50,30000_5003_30,30000_7198_1,30000_9002_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_06000	1	battle_bg_015	@TowerName020
71	21	2	130	5	22	0,70_1_40028,70_1_40022,70_1_40024,70_1_40014,70_1_40018	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_08000	1	battle_bg_022	@TowerName021
72	22	2	130	5	23	0,71_1_40018,71_1_40022,71_1_40018,71_1_40011,71_1_40027	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_13000	1	battle_bg_022	@TowerName022
73	23	2	130	5	24	0,72_1_40009,72_1_40022,72_1_40009,72_1_40025,72_1_40014	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_15000	1	battle_bg_022	@TowerName023
74	24	2	130	5	25	0,73_1_40011,73_1_40027,73_1_40011,73_1_40018,73_1_40025	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_08000	1	battle_bg_022	@TowerName024
75	25	2	130	5	26	0,74_1_40019,74_1_40011,74_1_40019,74_1_40028,74_1_40015	10000_1001_100,30000_5003_30,30000_7198_1,30000_9002_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_09000	1	battle_bg_015	@TowerName025
76	26	2	130	5	27	0,75_1_40018,75_1_40015,75_1_40018,75_1_40018,75_1_40023	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_10000	1	battle_bg_022	@TowerName026
77	27	2	130	5	28	0,76_1_40024,76_1_40014,76_1_40024,76_1_40017,76_1_40025	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_12000	1	battle_bg_022	@TowerName027
78	28	2	130	5	29	0,77_1_40014,77_1_40009,77_1_40014,77_1_40012,77_1_40024	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_03000	1	battle_bg_022	@TowerName028
79	29	2	130	5	30	0,78_1_40018,78_1_40023,78_1_40018,78_1_40024,78_1_40009	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName029
80	30	2	130	5	31	0,79_1_40024,79_1_40025,79_1_40024,79_1_40009,79_1_40026	10000_1001_50,30000_5003_30,30000_7198_1,30000_9002_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_11000	1	battle_bg_015	@TowerName030
81	31	2	130	5	32	0,80_1_40028,80_1_40009,80_1_40028,80_1_40012,80_1_40025	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_12000	1	battle_bg_022	@TowerName031
82	32	2	130	5	33	0,81_1.1_40018,81_1.1_40022,81_1.1_40018,81_1.1_40022,81_1.1_40024	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_17000	1	battle_bg_022	@TowerName032
83	33	2	130	5	34	0,82_1.1_40011,82_1.1_40027,82_1.1_40011,82_1.1_40016,82_1.1_40022	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_21000	1	battle_bg_022	@TowerName033
84	34	2	130	5	35	0,83_1.1_40019,83_1.1_40014,83_1.1_40019,83_1.1_40022,83_1.1_40022	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_02000	1	battle_bg_022	@TowerName034
85	35	2	130	5	36	0,84_1.1_40018,84_1.1_40025,84_1.1_40018,84_1.1_40017,84_1.1_40027	10000_1001_50,30000_5003_30,30000_7198_1,30000_9002_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_06000	1	battle_bg_015	@TowerName035
86	36	2	130	5	37	0,85_1.1_40011,85_1.1_40015,85_1.1_40011,85_1.1_40009,85_1.1_40011	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_08000	1	battle_bg_022	@TowerName036
87	37	2	130	5	38	0,86_1.1_40009,86_1.1_40023,86_1.1_40009,86_1.1_40022,86_1.1_40015	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_13000	1	battle_bg_022	@TowerName037
88	38	2	130	5	39	0,87_1.1_40014,87_1.1_40025,87_1.1_40014,87_1.1_40011,87_1.1_40014	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_15000	1	battle_bg_022	@TowerName038
89	39	2	130	5	40	0,88_1.1_40028,88_1.1_40024,88_1.1_40028,88_1.1_40011,88_1.1_40009	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_08000	1	battle_bg_022	@TowerName039
90	40	2	130	5	41	0,89_1.1_40024,89_1.1_40009,89_1.1_40024,89_1.1_40021,89_1.1_40023	10000_1001_50,30000_5003_30,30000_7198_1,30000_9002_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_11000	1	battle_bg_015	@TowerName040
91	41	2	130	5	42	0,90_1.1_40028,90_1.1_40026,90_1.1_40011,90_1.1_40014,90_1.1_40025	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_18000	1	battle_bg_022	@TowerName041
92	42	2	130	5	43	0,91_1.1_40018,91_1.1_40025,91_1.1_40011,91_1.1_40022,91_1.1_40009	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_22000	1	battle_bg_022	@TowerName042
93	43	2	130	5	44	0,92_1.1_40009,92_1.1_40024,92_1.1_40011,92_1.1_40027,92_1.1_40022	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_24000	1	battle_bg_022	@TowerName043
94	44	2	130	5	45	0,93_1.1_40011,93_1.1_40022,93_1.1_40025,93_1.1_40014,93_1.1_40011	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_17000	1	battle_bg_022	@TowerName044
95	45	2	130	5	46	0,94_1.1_40019,94_1.1_40022,94_1.1_40018,94_1.1_40025,94_1.1_40019	10000_1001_50,30000_5003_30,30000_7198_1,30000_9002_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_18000	1	battle_bg_015	@TowerName045
96	46	2	130	5	47	0,95_1.1_40018,95_1.1_40027,95_1.1_40028,95_1.1_40015,95_1.1_40018	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_01000	1	battle_bg_022	@TowerName046
97	47	2	130	5	48	0,96_1.1_40024,96_1.1_40011,96_1.1_40018,96_1.1_40023,96_1.1_40024	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_02000	1	battle_bg_022	@TowerName047
98	48	2	130	5	49	0,97_1.1_40014,97_1.1_40015,97_1.1_40017,97_1.1_40025,97_1.1_40014	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_04000	1	battle_bg_022	@TowerName048
99	49	2	130	5	50	0,98_1.1_40018,98_1.1_40014,98_1.1_40012,98_1.1_40024,98_1.1_40018	10000_1001_50,30000_5003_30,30000_7197_1,30000_9002_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_03000	1	battle_bg_022	@TowerName049
100	50	2	130	5	0	0,99_1.1_40024,99_1.1_40009,99_1.1_40024,99_1.1_40009,99_1.1_40024	10000_1001_200,30000_5003_100,30000_7198_1,30000_9002_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_09000	1	battle_bg_015	@TowerName050
101	1	3	130	5	2	0,50_1_40004,50_1_40003,50_1_40002,50_1_40001,50_1_40005	10000_1001_50,30000_5007_30,30000_7197_1,30000_9003_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_03000	1	battle_bg_022	@TowerName001
102	2	3	130	5	3	0,51_1_40008,51_1_40007,51_1_40006,51_1_40005,51_1_40005	10000_1001_50,30000_5007_30,30000_7197_1,30000_9003_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName002
