id	skinId	Star	skills
250	20001	3	12001,10111,12021
251	20001	4	12001,10111,12021
252	20001	5	12001,10111,12021
253	20001	6	12002,10111,12021
254	20001	7	12002,10112,12021
255	20001	8	12002,10112,12022
256	20001	9	12002,10112,12022
257	20001	10	12003,10112,12022
258	20001	11	12003,10113,12022
259	20001	12	12003,10113,12023
260	20001	13	12003,10113,12023
261	21001	1	12101,10111,12121
262	21001	2	12101,10111,12121
263	21001	3	12101,10111,12121
264	21001	4	12101,10111,12121
265	21001	5	12101,10111,12121
266	21001	6	12102,10111,12121
267	21001	7	12102,10112,12121
268	21001	8	12102,10112,12122
269	21001	9	12102,10112,12122
270	21001	10	12103,10112,12122
271	21001	11	12103,10113,12122
272	21001	12	12103,10113,12123
273	21001	13	12103,10113,12123
274	22001	1	12201,10111,12221
275	22001	2	12201,10111,12221
276	22001	3	12201,10111,12221
277	22001	4	12201,10111,12221
278	22001	5	12201,10111,12221
279	22001	6	12202,10111,12221
280	22001	7	12202,10112,12221
281	22001	8	12202,10112,12222
282	22001	9	12202,10112,12222
283	22001	10	12203,10112,12222
284	22001	11	12203,10113,12222
285	22001	12	12203,10113,12223
286	22001	13	12203,10113,12223
287	23001	1	12301,10111,12321
288	23001	2	12301,10111,12321
289	23001	3	12301,10111,12321
290	23001	4	12301,10111,12321
291	23001	5	12301,10111,12321
292	23001	6	12302,10111,12321
293	23001	7	12302,10112,12321
294	23001	8	12302,10112,12322
295	23001	9	12302,10112,12322
296	23001	10	12303,10112,12322
297	23001	11	12303,10113,12322
298	23001	12	12303,10113,12323
299	23001	13	12303,10113,12323
300	24001	1	12401,10111,12421
301	24001	2	12401,10111,12421
302	24001	3	12401,10111,12421
303	24001	4	12401,10111,12421
304	24001	5	12401,10111,12421
305	24001	6	12402,10111,12421
306	24001	7	12402,10112,12421
307	24001	8	12402,10112,12422
308	24001	9	12402,10112,12422
309	24001	10	12403,10112,12422
310	24001	11	12403,10113,12422
311	24001	12	12403,10113,12423
312	24001	13	12403,10113,12423
313	7100	1	10701,10711,107061
314	7100	2	10701,10711,107061
315	7100	3	10701,10711,107061
316	7100	4	10701,10711,107061
317	7100	5	10701,10711,107061
318	7100	6	10702,10711,107061
319	7100	7	10702,10712,107061
320	7100	8	10702,10712,107062
321	7100	9	10702,10712,107062
322	7100	10	10703,10712,107062
323	7100	11	10703,10713,107062
324	7100	12	10703,10713,107063
325	7100	13	10703,10713,107063
326	16100	1	11601,11611,116061
327	16100	2	11601,11611,116061
328	16100	3	11601,11611,116061
329	16100	4	11601,11611,116061
330	16100	5	11601,11611,116061
331	16100	6	11602,11611,116061
332	16100	7	11602,11612,116061
333	16100	8	11602,11612,116062
334	16100	9	11602,11612,116062
335	16100	10	11603,11612,116062
336	16100	11	11603,11613,116062
337	16100	12	11603,11613,116063
338	16100	13	11603,11613,116063
339	23100	1	12301,12311,123061
340	23100	2	12301,12311,123061
341	23100	3	12301,12311,123061
342	23100	4	12301,12311,123061
343	23100	5	12301,12311,123061
344	23100	6	12302,12311,123061
345	23100	7	12302,12312,123061
346	23100	8	12302,12312,123062
347	23100	9	12302,12312,123062
348	23100	10	12303,12312,123062
349	23100	11	12303,12313,123062
350	23100	12	12303,12313,123063
351	23100	13	12303,12313,123063
352	1100	1	101071,10111,10121
353	1100	2	101071,10111,10121
354	1100	3	101071,10111,10121
355	1100	4	101071,10111,10121
356	1100	5	101071,10111,10121
357	1100	6	101072,10111,10121
358	1100	7	101072,10112,10121
359	1100	8	101072,10112,10122
360	1100	9	101072,10112,10122
361	1100	10	101073,10112,10122
362	1100	11	101073,10113,10122
363	1100	12	101073,10113,10123
364	1100	13	101073,10113,10123
365	8100	1	10801,10811,108061
366	8100	2	10801,10811,108061
367	8100	3	10801,10811,108061
368	8100	4	10801,10811,108061
369	8100	5	10801,10811,108061
370	8100	6	10802,10811,108061
371	8100	7	10802,10812,108061
372	8100	8	10802,10812,108062
373	8100	9	10802,10812,108062
374	8100	10	10803,10812,108062
375	8100	11	10803,10813,108062
376	8100	12	10803,10813,108063
377	8100	13	10803,10813,108063
378	9100	1	109061,10911,10921
379	9100	2	109061,10911,10921
380	9100	3	109061,10911,10921
381	9100	4	109061,10911,10921
382	9100	5	109061,10911,10921
383	9100	6	109062,10911,10921
384	9100	7	109062,10912,10921
385	9100	8	109062,10912,10922
386	9100	9	109062,10912,10922
387	9100	10	109063,10912,10922
388	9100	11	109063,10913,10922
389	9100	12	109063,10913,10923
390	9100	13	109063,10913,10923
391	11100	1	11101,11111,111061
392	11100	2	11101,11111,111061
393	11100	3	11101,11111,111061
394	11100	4	11101,11111,111061
395	11100	5	11101,11111,111061
396	11100	6	11102,11111,111061
397	11100	7	11102,11112,111061
398	11100	8	11102,11112,111062
399	11100	9	11102,11112,111062
400	11100	10	11103,11112,111062
401	11100	11	11103,11113,111062
402	11100	12	11103,11113,111063
403	11100	13	11103,11113,111063
404	13100	1	11301,11311,113061
405	13100	2	11301,11311,113061
406	13100	3	11301,11311,113061
407	13100	4	11301,11311,113061
408	13100	5	11301,11311,113061
409	13100	6	11302,11311,113061
410	13100	7	11302,11312,113061
411	13100	8	11302,11312,113062
412	13100	9	11302,11312,113062
413	13100	10	11303,11312,113062
414	13100	11	11303,11313,113062
415	13100	12	11303,11313,113063
416	13100	13	11303,11313,113063
417	3100	1	10301,103061,10321
418	3100	2	10301,103061,10321
419	3100	3	10301,103061,10321
420	3100	4	10301,103061,10321
421	3100	5	10301,103061,10321
422	3100	6	10302,103061,10321
423	3100	7	10302,103062,10321
424	3100	8	10302,103062,10322
425	3100	9	10302,103062,10322
426	3100	10	10303,103062,10322
427	3100	11	10303,103063,10322
428	3100	12	10303,103063,10323
429	3100	13	10303,103063,10323
430	2100	1	102061,10211,10221
431	2100	2	102061,10211,10221
432	2100	3	102061,10211,10221
433	2100	4	102061,10211,10221
434	2100	5	102061,10211,10221
435	2100	6	102062,10211,10221
436	2100	7	102062,10212,10221
437	2100	8	102062,10212,10222
438	2100	9	102062,10212,10222
439	2100	10	102063,10212,10222
440	2100	11	102063,10213,10222
441	2100	12	102063,10213,10223
442	2100	13	102063,10213,10223
443	10100	1	11001,110061,11021
444	10100	2	11001,110061,11021
445	10100	3	11001,110061,11021
446	10100	4	11001,110061,11021
447	10100	5	11001,110061,11021
448	10100	6	11002,110061,11021
449	10100	7	11002,110062,11021
450	10100	8	11002,110062,11022
451	10100	9	11002,110062,11022
452	10100	10	11003,110062,11022
453	10100	11	11003,110063,11022
454	10100	12	11003,110063,11023
455	10100	13	11003,110063,11023
456	12100	1	11201,11211,112061
457	12100	2	11201,11211,112061
458	12100	3	11201,11211,112061
459	12100	4	11201,11211,112061
460	12100	5	11201,11211,112061
461	12100	6	11202,11211,112061
462	12100	7	11202,11212,112061
463	12100	8	11202,11212,112062
464	12100	9	11202,11212,112062
465	12100	10	11203,11212,112062
466	12100	11	11203,11213,112062
467	12100	12	11203,11213,112063
468	12100	13	11203,11213,112063
469	18100	1	11801,118061,11821
470	18100	2	11801,118061,11821
471	18100	3	11801,118061,11821
472	18100	4	11801,118061,11821
473	18100	5	11801,118061,11821
474	18100	6	11802,118061,11821
475	18100	7	11802,118062,11821
476	18100	8	11802,118062,11822
477	18100	9	11802,118062,11822
478	18100	10	11803,118062,11822
479	18100	11	11803,118063,11822
480	18100	12	11803,118063,11823
481	18100	13	11803,118063,11823
482	19100	1	11901,11911,119061
483	19100	2	11901,11911,119061
484	19100	3	11901,11911,119061
485	19100	4	11901,11911,119061
486	19100	5	11901,11911,119061
487	19100	6	11902,11911,119061
488	19100	7	11902,11912,119061
489	19100	8	11902,11912,119062
490	19100	9	11902,11912,119062
491	19100	10	11903,11912,119062
492	19100	11	11903,11913,119062
493	19100	12	11903,11913,119063
494	19100	13	11903,11913,119063
495	22100	1	12201,12211,122061
496	22100	2	12201,12211,122061
497	22100	3	12201,12211,122061
498	22100	4	12201,12211,122061
499	22100	5	12201,12211,122061
500	22100	6	12202,12211,122061
501	22100	7	12202,12212,122061
502	22100	8	12202,12212,122062
503	22100	9	12202,12212,122062
504	22100	10	12203,12212,122062
505	22100	11	12203,12213,122062
506	22100	12	12203,12213,122063
507	22100	13	12203,12213,122063
508	24100	1	12401,124061,12421
509	24100	2	12401,124061,12421
510	24100	3	12401,124061,12421
511	24100	4	12401,124061,12421
512	24100	5	12401,124061,12421
513	24100	6	12402,124061,12421
514	24100	7	12402,124062,12421
515	24100	8	12402,124062,12422
516	24100	9	12402,124062,12422
517	24100	10	12403,124062,12422
518	24100	11	12403,124063,12422
519	24100	12	12403,124063,12423
520	24100	13	12403,124063,12423
521	17100	1	11701,11711,117061
522	17100	2	11701,11711,117061
523	17100	3	11701,11711,117061
524	17100	4	11701,11711,117061
525	17100	5	11701,11711,117061
526	17100	6	11702,11711,117061
527	17100	7	11702,11712,117061
528	17100	8	11702,11712,117062
529	17100	9	11702,11712,117062
530	17100	10	11703,11712,117062
531	17100	11	11703,11713,117062
532	17100	12	11703,11713,117063
533	17100	13	11703,11713,117063
534	4100	1	10401,104061,10421
535	4100	2	10401,104061,10421
536	4100	3	10401,104061,10421
537	4100	4	10401,104061,10421
538	4100	5	10401,104061,10421
539	4100	6	10402,104061,10421
540	4100	7	10402,104062,10421
541	4100	8	10402,104062,10422
542	4100	9	10402,104062,10422
543	4100	10	10403,104062,10422
544	4100	11	10403,104063,10422
545	4100	12	10403,104063,10423
546	4100	13	10403,104063,10423
547	21100	1	12101,12111,121061
548	21100	2	12101,12111,121061
549	21100	3	12101,12111,121061
550	21100	4	12101,12111,121061
551	21100	5	12101,12111,121061
552	21100	6	12102,12111,121061
553	21100	7	12102,12112,121061
554	21100	8	12102,12112,121062
555	21100	9	12102,12112,121062
556	21100	10	12103,12112,121062
557	21100	11	12103,12113,121062
558	21100	12	12103,12113,121063
559	21100	13	12103,12113,121063
560	5100	1	10501,105061,10521
561	5100	2	10501,105061,10521
562	5100	3	10501,105061,10521
563	5100	4	10501,105061,10521
564	5100	5	10501,105061,10521
565	5100	6	10502,105061,10521
566	5100	7	10502,105062,10521
567	5100	8	10502,105062,10522
568	5100	9	10502,105062,10522
569	5100	10	10503,105062,10522
570	5100	11	10503,105063,10522
571	5100	12	10503,105063,10523
572	5100	13	10503,105063,10523
573	6100	1	10601,106071,10621
574	6100	2	10601,106071,10621
575	6100	3	10601,106071,10621
576	6100	4	10601,106071,10621
577	6100	5	10601,106071,10621
578	6100	6	10602,106071,10621
579	6100	7	10602,106072,10621
580	6100	8	10602,106072,10622
581	6100	9	10602,106072,10622
582	6100	10	10603,106072,10622
583	6100	11	10603,106073,10622
584	6100	12	10603,106073,10623
585	6100	13	10603,106073,10623
586	15100	1	11501,11511,115061
587	15100	2	11501,11511,115061
588	15100	3	11501,11511,115061
589	15100	4	11501,11511,115061
590	15100	5	11501,11511,115061
591	15100	6	11502,11511,115061
592	15100	7	11502,11512,115061
593	15100	8	11502,11512,115062
594	15100	9	11502,11512,115062
595	15100	10	11503,11512,115062
596	15100	11	11503,11513,115062
597	15100	12	11503,11513,115063
598	15100	13	11503,11513,115063
599	20100	1	12001,12011,120061
600	20100	2	12001,12011,120061
601	20100	3	12001,12011,120061
602	20100	4	12001,12011,120061
603	20100	5	12001,12011,120061
604	20100	6	12002,12011,120061
605	20100	7	12002,12012,120061
606	20100	8	12002,12012,120062
607	20100	9	12002,12012,120062
608	20100	10	12003,12012,120062
609	20100	11	12003,12013,120062
610	20100	12	12003,12013,120063
611	20100	13	12003,12013,120063
