id	rank	rare	starrare	afterid	名字	图片	基础属性	隨機属性	是否有技能
324	3	2	1	420	@Rune_3	Rune_3_2.png	114_1180,111_138		0
325	3	2	1	420	@Rune_3	Rune_3_2.png	114_1180,108_197		0
326	3	2	1	420	@Rune_3	Rune_3_2.png	114_1180,109_306		0
327	3	2	1	420	@Rune_3	Rune_3_2.png	114_1180,110_246		0
410	4	2	2	510	@Rune_4	Rune_4_1.png	113_1416	101_14455_143,106_900_143,107_900_143,111_165_143,108_236_143,109_367_143,110_296_142	1
411	4	2	2	510	@Rune_4	Rune_4_1.png	113_1416,101_14455		1
412	4	2	2	510	@Rune_4	Rune_4_1.png	113_1416,106_900		1
413	4	2	2	510	@Rune_4	Rune_4_1.png	113_1416,107_900		1
414	4	2	2	510	@Rune_4	Rune_4_1.png	113_1416,111_165		1
415	4	2	2	510	@Rune_4	Rune_4_1.png	113_1416,108_236		1
416	4	2	2	510	@Rune_4	Rune_4_1.png	113_1416,109_367		1
417	4	2	2	510	@Rune_4	Rune_4_1.png	113_1416,110_296		1
420	4	2	2	520	@Rune_4	Rune_4_2.png	114_1416	101_14455_143,106_900_143,107_900_143,111_165_143,108_236_143,109_367_143,110_296_142	1
421	4	2	2	520	@Rune_4	Rune_4_2.png	114_1416,101_14455		1
422	4	2	2	520	@Rune_4	Rune_4_2.png	114_1416,106_900		1
423	4	2	2	520	@Rune_4	Rune_4_2.png	114_1416,107_900		1
424	4	2	2	520	@Rune_4	Rune_4_2.png	114_1416,111_165		1
425	4	2	2	520	@Rune_4	Rune_4_2.png	114_1416,108_236		1
426	4	2	2	520	@Rune_4	Rune_4_2.png	114_1416,109_367		1
427	4	2	2	520	@Rune_4	Rune_4_2.png	114_1416,110_296		1
510	5	3	1	510	@Rune_5	Rune_5_1.png	113_1700	101_17346_143,106_1080_143,107_1080_143,111_198_143,108_283_143,109_440_143,110_355_142	1
511	5	3	1	510	@Rune_5	Rune_5_1.png	113_1700,101_17346		1
512	5	3	1	510	@Rune_5	Rune_5_1.png	113_1700,106_1080		1
513	5	3	1	510	@Rune_5	Rune_5_1.png	113_1700,107_1080		1
514	5	3	1	510	@Rune_5	Rune_5_1.png	113_1700,111_198		1
515	5	3	1	510	@Rune_5	Rune_5_1.png	113_1700,108_283		1
516	5	3	1	510	@Rune_5	Rune_5_1.png	113_1700,109_440		1
517	5	3	1	510	@Rune_5	Rune_5_1.png	113_1700,110_355		1
520	5	3	1	520	@Rune_5	Rune_5_2.png	114_1700	101_17346_143,106_1080_143,107_1080_143,111_198_143,108_283_143,109_440_143,110_355_142	1
521	5	3	1	520	@Rune_5	Rune_5_2.png	114_1700,101_17346		1
522	5	3	1	520	@Rune_5	Rune_5_2.png	114_1700,106_1080		1
523	5	3	1	520	@Rune_5	Rune_5_2.png	114_1700,107_1080		1
524	5	3	1	520	@Rune_5	Rune_5_2.png	114_1700,111_198		1
525	5	3	1	520	@Rune_5	Rune_5_2.png	114_1700,108_283		1
526	5	3	1	520	@Rune_5	Rune_5_2.png	114_1700,109_440		1
527	5	3	1	520	@Rune_5	Rune_5_2.png	114_1700,110_355		1
